,time,A,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,ANET,ANSS,AVGO,BR,CDAY,CDNS,CIEN,CRM,CSCO,CTSH,ENPH,EPAM,FAST,FDS,FFIV,FI,FICO,FIS,FLT,FTNT,GEN,GLW,GPN,INTC,INTU,IT,JBL,JKHY,JNPR,KEYS,KLAC,LDOS,LHX,LRCX,MA,MCHP,MPWR,MSFT,MSI,MU,NOW,NVDA,NXPI,ON,ORCL,PANW,PAYC,PAYX,PTC,PYPL,QCOM,QRVO,SWKS,TER,TRMB,TXN,TYL,Ticker,V,ZBRA
350,03/27/2020,70.91,162.88,305.83,88.67,131.38,141.57,45.05,46.58,47.8225,223.02,230.69,91.57,48.65,62.28,39.34,146,38.82,46.66,32.38,175.22,31.04,254.71,110.8,93.95,291.06,120.1,196.18,19.456,18.93,20.74,144.96,52.37,229.69,104.79,23.85,149.03,19.94,78.28,142.24,93.44,185.0,241.22,247.65,34.1,161.7,149.7,135.07,43.48,274.0,63.1825,81.3,12.89,49.83,54.18,208.94,60.17,59.01,93.48,66.59,80.69,87.09,54.85,29.85,100.5,282.83,,161.56,184.57
351,03/27/2023,133.07,273.96,373.15,184.77,214.36,198.75,118.87,96.61,167.96,316.94,626.84,140.93,68.81,205.27,48.61,191.26,50.54,59.01,195.83,285,52.35,394.41,139.35,111.77,688.63,50.21,203.58,63.98,16.79,33.35,99.15,29.18,426.94,312.46,82.98,149.43,32.8,155.75,374.02,91.38,194.54,495.77,354.62,77.55,482.83,276.38,274.2,59.79,431.31,265.31,174.2,75.67,90.14,192.53,272.48,109.08,123.17,73.3,123.6,98.52,113.11,105.35,49.72,177.05,332.25,,221.81,288.86
352,03/28/2018,66.4,147.41,212.54,89.91,111.76,124.55,54.06,9.81,61.285,154.87,236.68,107.14,,36.14,25.32,112.88,41.66,79.67,4.59,111.53,26.59,198.44,142.61,70.74,167.51,95.32,196.63,10.456,25.64,27.35,110.08,49.6,170.93,116.81,28.24,119.54,24.05,51.23,106.57,64.26,159.78,196.21,170.35,45.58,113.21,89.39,103.96,51.49,159.68,55.3375,116.26,23.81,44.98,58.9666666666667,105.18,60.6,77.04,75.06,54.7,68.54,98.87,44.83,34.77,101.91,206.27,,116.99,135.95
353,03/28/2019,79.7,175.12,263.53,104.07,158.37,153.03,38.51,25.06,78.075,180.29,299.07,102.7,50.15,62.65,37.07,155.18,53.36,71.58,9.08,168,31.755,244.93,153.71,87.78,266.45,111.18,243.58,16.47,22.94,32.9,135.15,53.11,259.22,150.04,26.48,138.17,25.98,86.51,117.47,63.73,159.93,175.68,234.86,40.575,134.29,116.93,139.19,39.34,243.33,44.3125,85.92,20.27,53.19,79.4633333333333,186.69,79.05,90.38,103.86,56.55,70.23,80.54,39.22,40.29,104.91,204.47,,154.67,208.46
354,03/28/2022,135.42,330.74,450.01,167.26,220.65,215.41,137.66,120.24,139.39,318.4,632.88,154.42,68.12,162.47,60.62,215.28,55.14,91.54,195.52,275.19,58.46,431.34,212.17,100.74,462.39,97.65,243.02,67.706,28.18,37.95,135.51,51.51,480.5,296.66,61.17,194.5,37.31,160.04,375.35,109.05,249.45,557.31,350.49,77.45,499.42,310.7,235.12,79.86,582.76,282.19,189.42,65.32,83.6,208.416666666667,348.07,129.87,107.95,116.17,158.45,128.86,137.06,122.96,71.85,185.68,438.3,,220.77,422.28
355,03/28/2023,132.63,275,373.4,183.6,214.15,197.27,116.4,94.56,163,317.71,624.7,140.63,68.26,203.28,50.87,192.3,50.39,58.95,193.52,283,52.63,401.47,139.85,111.28,679.52,50.65,202.24,64.27,16.7,33.55,99.58,29.29,419.33,314.73,83.24,149.72,32.96,155.31,371.01,91.1,191.95,485.08,354.33,77.86,475.04,275.23,272.88,59.28,429.08,264.1,173.21,76.53,89.85,190.76,273.03,108.98,123.24,72.7,121.34,97.61,113.3,104.21,49.9,177.49,330.99,,220.33,290.15
356,03/29/2018,66.9,153.5,216.08,91.13,113.48,125.58,55.61,10.05,63.825,156.69,235.65,109.69,,36.77,25.9,116.3,42.89,80.5,4.57,114.52,27.295,199.42,144.61,71.31,169.37,96.3,202.5,10.716,25.85,27.88,111.52,52.08,173.35,117.62,28.73,120.95,24.33,52.39,109.01,65.4,161.28,203.16,175.16,45.68,115.77,91.27,105.3,52.14,165.45,57.8975,117.0,24.46,45.75,60.5066666666667,107.39,61.59,78.01,75.87,55.41,70.45,100.26,45.71,35.88,103.89,210.96,,119.62,139.19
357,03/29/2019,80.38,176.02,266.49,105.27,159.74,155.82,39.66,25.52,78.615,182.71,300.71,103.69,51.3,63.51,37.34,158.37,53.99,72.45,9.23,169.13,32.155,248.27,156.93,88.28,271.63,113.1,246.59,16.794,22.99,33.1,136.52,53.7,261.41,151.68,26.59,138.74,26.47,87.2,119.41,64.09,159.71,179.01,235.45,41.48,135.49,117.94,140.42,41.33,246.49,44.89,88.39,20.57,53.71,80.96,189.13,80.2,92.18,103.84,57.03,71.73,82.48,39.84,40.4,106.07,204.4,,156.19,209.53
358,03/29/2021,125.42,279.54,469.32,153.85,192.5,270.78,125.71,77.14,76.9225,342.23,472.62,157.31,81.66,132.75,54.91,210.77,52.52,78.06,142.14,378.08,50.68,323.95,208.78,121.49,485.14,143.97,275.24,36.734,21.72,43.4,205.51,64.5,374.62,181.69,51.12,156.41,25.68,141.32,314.31,98.18,202.84,570.29,362.91,75.425,340.54,235.24,188.88,86.59,485.39,129.4825,194.14,39.1,71.13,106.743333333333,364.43,100.28,131.7,235.67,131.27,178.89,179.32,113.89,75.28,186.18,417.87,,214.51,467.07
359,03/29/2022,138.42,340.69,466.33,170.18,224.95,223,141.44,123.23,140.8,327.65,641.47,157.48,71.08,165.97,61.9,221.29,55.67,92.73,202.36,307.05,58.98,437.35,215.54,103.0,479.36,101.99,249.47,69.496,27.08,38.32,140.39,52.25,485.36,306.42,61.87,197.83,37.69,165.07,384.33,107.36,246.6,568.93,367.55,79.78,512.21,315.41,238.03,82.05,597.75,286.56,194.74,67.36,84.29,205.503333333333,359.71,132.53,111.89,121.18,161.07,131.89,140.29,125.37,73.56,191.01,451.63,,228.12,438.1
360,03/29/2023,133.85,279.94,379.16,189.17,219.9,199.16,119.85,96.09,162.5,320.07,625.5,142.98,70.29,206,51.32,196.64,51.17,59.51,203.95,285.76,52.97,407.63,141.95,111.84,698.13,51.47,207.43,64.81,16.64,34.36,103.33,31.52,433.29,318.36,84.62,148.52,33.37,156.65,385.15,91.44,194.64,515.75,359.53,80.87,490.91,280.51,276.81,63.54,438.44,269.84,179.0,79.87,90.62,192.19,285.87,116.03,124.71,74.18,125.09,100.19,116.48,107.39,51.44,181.04,341.05,,223.3,296.12
361,03/30/2020,72.67,169.82,318.39,90.97,137.82,155.91,47.3,47.86,51.4325,235.13,240.11,96.94,51.41,66.91,41.08,149.85,40.32,47.38,32,188.22,31.8,268.07,109.81,98.33,313.83,125.29,194.02,20.19,19.1,21.28,151.23,55.49,238.05,107.81,24.6,156.05,20.25,85.66,149.52,93.43,181.96,255.3,253.25,34.495,165.19,160.23,133.37,44.52,286.39,66.3975,84.93,12.97,50.36,55.49,213.12,64.42,59.27,97.03,69.03,81.48,90.11,55.24,31.03,102.02,300.81,,165.57,188.35
362,03/30/2021,124.84,278.55,465.46,152.61,187.89,268.43,126.76,76,74.715,331.89,456.16,152.98,81.91,130.87,54.71,210,51.77,78.57,150.6,383.51,50.62,311.34,207.63,120.76,484.0,142.51,276.65,36.266,21.1,43.6,204.39,63.77,373.66,181.73,51.48,153.4,25.47,141.54,317.07,96.67,203.08,572.56,358.2,75.055,342.59,231.85,186.61,86.54,487.57,128.7175,197.77,39.87,70.55,106.003333333333,360.19,99.23,132.0,236.54,130.11,177.63,178.51,115.96,76.04,185.94,414.21,,211.9,474.83
363,03/30/2022,135.46,338.46,460.06,166.48,227.76,221,135.8,119.22,138.19,320.31,631.09,155.84,69.22,163.31,61.36,214.94,56.05,91.39,196.65,293,59.71,439.9,212.78,102.14,476.96,101.02,250.22,68.386,27.19,37.58,137.52,51.43,471.95,301.55,60.49,197.26,37.58,160.81,373.82,108.42,251.81,548.56,362.24,76.39,488.4,313.86,240.78,79.16,573.99,276.9,187.33,64.43,83.36,205.25,347.26,136.89,109.19,118.49,152.73,127.43,136.4,121.03,72.91,187.45,444.0,,223.95,429.61
364,03/30/2023,134.49,282.66,381.9,194.21,219.49,201.61,122.11,97.88,162.49,326.04,633.75,145.11,70.15,207.01,51.95,196.6,51.43,59.81,205.27,293.69,52.82,410.68,143.26,113.0,696.4,52.17,205.56,65.81,16.78,34.82,103.19,32.09,440.09,319.7,86.74,147.98,34.04,158.07,396.03,91.59,194.72,531.36,359.26,82.78,497.79,284.05,281.65,63.09,439.63,273.83,181.62,81.83,90.51,193.57,296.29,113.54,125.68,74.39,127.4,100.88,117.32,107.6,51.31,184.24,344.1,,222.36,309.11
365,03/31/2020,71.62,163.26,318.24,89.65,136.68,156.1,45.82,45.48,50.6375,232.47,237.1,94.83,50.07,66.04,39.81,143.98,39.31,46.47,32.29,185.66,31.25,260.68,106.63,94.99,307.69,121.64,186.54,20.234,18.71,20.54,144.23,54.12,230.0,99.57,24.58,155.24,19.14,83.68,143.74,91.65,180.12,240.0,241.56,33.9,167.46,157.71,132.92,42.06,286.58,65.9,82.93,12.44,48.33,54.6533333333333,202.01,62.92,61.21,95.74,67.65,80.63,89.38,54.17,31.83,99.93,296.56,,161.12,183.6
366,03/31/2021,127.14,276.25,475.37,155.08,188.47,277.15,133.6,78.5,75.4725,339.56,463.66,153.1,84.27,136.99,54.72,211.87,51.71,78.12,162.16,396.69,50.28,308.59,208.62,119.04,486.05,140.61,268.63,36.884,21.26,43.51,201.58,64.0,383.06,182.55,52.16,151.72,25.33,143.4,330.4,96.28,202.68,595.24,356.05,77.61,353.21,235.77,188.05,88.21,500.11,133.4825,201.34,41.61,70.17,107.353333333333,370.06,98.02,137.65,242.84,132.59,182.7,183.48,121.68,77.79,188.99,424.53,,211.73,485.18
