,date,ALGN,AMGN,BAX,BDX,BIIB,BIO,BSX,CAH,CI,CNC,COO,COR,CRL,CTLT,DGX,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,LH,MCK,MDNAF,MDT,MOH,MTD,PODD,REGN,RVTY,STE,SYK,TECH,TMO,Ticker,UBER,UHS,UNH,VRTX,WAT,WST,XRAY,ZBH
1369,11/27/2020,475.5,224.81,75.97,223.375609756098,243.78,535.07,33.6,53.78,212.5,63.17,340.71,103.2,230.16,97.4,124.8,109.88,79.5525,312.8,85.26,,60.03,153.05,69.51,63.68,406.49,454.23,317.03,83.25,168.81,243.273333333333,171.821305841924,180.0,3.91,114.59,207.02,1126.68,251.48,514.05,129.26,191.69,232.81,74.4125,453.4,,50.72,132.11,337.94,226.71,228.27,277.96,51.66,145.650485436893
1370,11/27/2023,216.75,264.27,36.42,238.86,228.79,307.14,55.69,106.65,286.26,74.11,335.06,201.78,194.7,39.11,135.31,99.39,113.98,477.41,67.16,71.14,74.92,251.37,71.53,67.98,510.71,479.63,94.65,52.87,210.73,314.98,212.76,461.89,0.365,79.0,366.3,1079.84,187.74,798.08,88.25,201.4,293.96,62.26,490.13,,56.06,137.23,543.59,350.19,277.0,353.9,31.48,113.84
1371,11/28/2018,235.59,201.42,68.32,243.551219512195,332.24,274.75,36.65,54.88,221.72,70.43,273.38,91.24,134.58,39.79,96.93,65.61,31.175,291.3,53.6833333333333,,69.19,144.38,44.51,69.1764705882353,328.9,202.41,334.33,65.76,124.18,173.966666666667,141.829896907216,127.16,1.05,95.37,132.86,621.91,84.23,363.64,85.85,119.0,171.68,40.79,247.4,,,135.11,280.95,178.38,202.22,108.07,37.54,111.359223300971
1372,11/28/2022,189.78,282.62,55.19,237.34,291.9,398.41,43.79,78.46,319.51,84.93,308.33,167.17,237.11,46.92,149.07,72.08,112.57,512.78,75.78,,85.21,234.35,73.85,80.28,534.29,400.1,216.91,77.83,214.45,262.64,204.776632302406,380.34,0.43,76.13,326.53,1439.89,292.31,741.48,133.68,178.24,227.27,82.6,540.03,,27.76,129.13,532.27,315.3,331.6,224.18,30.46,117.67
1373,11/28/2023,214.14,265.52,36.34,237.28,227.41,304.4,54.93,106.16,286.08,72.96,334.34,201.3,195.22,39.46,135.72,99.67,112.2,475.49,67.1,68.13,74.51,246.65,69.87,67.41,510.45,470.8,96.54,52.7,211.0,310.95,212.33,461.6,0.356,78.63,361.23,1082.16,185.72,801.14,87.75,197.83,292.04,61.66,485.92,,56.21,136.08,540.53,347.04,275.95,352.42,31.48,113.09
1374,11/29/2018,228.7,202.37,68.02,244,326.61,275.32,37.04,55.02,222.52,70.97,277.42,90.5,133,39.62,87.94,65.66,32.49,292.17,54.2666666666667,,69.69,144.5,44.41,69.9137254901961,330.29,201.12,337.96,64.79,124.95,173.656666666667,139.012027491409,127.01,1.05,96.6,138.12,630.92,85.05,359.57,86.63,119.54,170.91,40.595,248.57,,,137.86,282.55,179.45,203.49,108.77,36.99,111.611650485437
1375,11/29/2019,277.34,234.72,81.97,252.19512195122,299.81,369.38,43.25,55.03,199.92,60.47,313.09,87.91,145.25,51.99,106.55,71.77,56.8275,288.66,81.6466666666667,,67.24,138.66,51.32,68.9,341.23,251.58,320.76,94.16,145.98,197.633333333333,148.015463917526,144.64,0.981,111.39,135.5,719.41,185.7,369.0,92.9,151.14,204.86,54.5625,313.95,,29.6,139.49,279.87,221.75,222.07,147.03,56.54,141.04854368932
1376,11/29/2021,634.47,203.47,76.03,237.668292682927,236.11,749.56,38.59,47.47,199.61,73.77,381.19,120.23,375.31,133.96,156.7,96.91,142.7525,416.22,110.71,,70.65,229.92,75.97,73.77,428.07,631.3,370.81,70.37,266.69,334.74,250.790378006873,223.27,1.9,110.28,297.53,1536.22,295.87,654.4,185.22,226.69,243.5,119.9225,648.77,,39.7,121.27,452.0,190.11,341.22,447.38,48.69,119.902912621359
1377,11/29/2022,191.83,281.99,55.34,241.02,291.41,399.55,44.5,78.65,320.7,84.42,307.44,167.9,239.5,47.18,149.01,71.65,110.39,515.36,74.85,,85.76,235.81,74.37,80.6,533.14,408.96,208.57,77.8,212.5,258.8,205.996563573883,381.78,0.447,76.48,322.72,1412.21,288.56,736.08,133.65,178.39,227.2,81.7675,539.75,,27.76,130.55,528.0,316.33,330.16,223.5,30.21,119.0
1378,11/29/2023,216.48,266.6,36.4,235.69,232.06,304.49,55.44,105.3,262.87,70.48,331.59,199.52,197.1,39.57,135.27,99.61,116.18,465.36,67.43,67.71,75.23,249.08,70.6,66.66,482.41,466.74,101.57,53.39,213.81,310.76,214.09,456.7,0.361,78.86,350.82,1092.43,188.92,808.59,89.41,197.44,294.37,63.12,492.92,,56.4,135.75,534.98,351.0,279.74,348.92,31.33,113.92
