Date,AFL,ALL,AXP,AIG,AMP,AON,ACGL,AJG,AIZ,BAC,BK,BRK.B,BLK,BX,BRO,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,EG,FDS,FIS,FITB,FI,FLT,BEN,GPN,GL,GS,HIG,HBAN,ICE,IVZ,JKHY,JPM,KEY,L,MTB,MKTX,MMC,MA,MET,MCO,MS,MSCI,NDAQ,NTRS,PYPL,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,SYF,TROW,TRV,TFC,USB,V,WRB,WFC,WTW,ZION
2018-04-09,0.027438443217320918,0.004796674476326146,0.015985743188218215,-0.00018664485915698137,0.002264828639845895,0.027641191255777908,-0.05256993293595902,0.020271383537252552,0.022001035946259462,0.0057373917863114965,0.024230288708274816,0.007724151948467428,0.009328517267183534,-0.009351968023041834,0.025109559878427223,0.017630546958578686,-0.009054337028714943,0.018559229952949563,-0.000969209451129438,0.007260202363994495,0.035131259541767434,0.01928606448232517,0.03260452936592495,0.012115545139752104,0.00284366526337676,-0.019901559698371818,0.019778051594815826,0.007327530190515574,0.00544175775521949,0.015177623762462789,0.02363247161145532,-0.0021072247309157355,0.010664615143437306,0.018325276359825615,0.023802865236795867,0.010758802115155675,0.006868026526161586,0.027187507828288604,-0.00553763855094358,0.009630336285246566,0.016219429765346627,0.007857873917465286,0.021263721150406756,0.008090518683200765,-0.0223047001400557,0.015485286580967594,0.028392052980132476,0.03644779293458078,0.02453010216382201,-0.0011312276714072755,0.024713605628809754,0.008568397543600836,0.027083103979313794,0.04616837265821694,-0.016830049873514996,0.01744683140186809,0.000499661851747879,0.0190558177900213,0.00848857501688638,0.015359408599316504,0.018363942909280118,0.023694888045137752,0.007689737248908424,0.026154730984098373,-0.006994916601809509,0.016236519698855423,0.013325145607321343,0.025913457131611084,0.012049816733632923,-0.025655666540272515,0.02689010839493844,0.027410874437816757
2018-04-16,0.016157972281994004,0.020236626467180052,0.08341404377748729,0.034334705184243974,0.014544452272491792,0.014223388055926378,0.0016065145902623978,0.022206200529248044,0.02076299483328614,0.01543634675156036,0.07465561642000562,0.01588834965894681,-0.0006671493044977383,0.04915378824864436,0.008942608325283707,0.01649571670497796,0.016705165343666506,0.07739018193463476,0.027462886354799432,0.02366377376554918,-0.01422341132125271,-0.007095402042615384,0.010158139684317335,-0.006037233957864263,0.03941000387240767,-0.008828668364780246,-0.024812854353093106,-0.0022864689296410168,0.00031828616170170854,0.006205850529511281,0.03965569404980851,0.026847514211085555,0.01228058899522444,0.033673183485885216,-0.015473415789882816,0.006967450124918173,0.0061394261702614195,0.025227665711281988,0.01735979962255585,0.01598024682203536,0.010607488721553038,0.032224236811722484,0.02260543450930208,-0.008899216087395079,0.0021277613723911237,0.01606599454109192,0.016124328047552927,0.01214820997714483,0.006937117816651517,0.027935015496761695,0.013413811681016519,0.017339632928290216,0.0359926734142344,0.01889487223108599,-0.00431530663851265,0.003957097382530694,0.016314209691680848,0.026371352444600316,0.026420407815002767,0.020528994151713942,0.011533213654209673,-0.0014026510588905916,0.03316747904731798,0.012416985258074886,0.004035603233193852,0.014629268789135175,-0.010205804307841237,0.028571392907632998,0.022854955642516384,0.032815806057753916,0.008862109628609005,0.01797507909509166
2018-04-23,0.013471624817537275,-0.0012205306669029747,-0.011707531384602898,0.014793380604887219,-0.013570640337180806,0.0013190151547446405,0.007773016426825485,0.009289384528868405,0.006209133508154885,-0.0036352192872182165,-0.001804193158169265,-0.014490626515357152,0.00043872441704739806,-0.043437882651355175,0.06859321804381491,-0.06389050860175638,-0.03603846478602635,0.01818517117706553,-0.0026874872899593782,-0.0507505231970139,-0.01442856853882557,0.01167209554831694,-0.046765139160542035,0.008377634054701044,-0.028641471289752363,-0.041580539277998874,-0.0062310491346482255,-0.013644135951182634,0.07670271928323968,0.0018223281396980706,-0.005838723323864481,0.007050722068244086,-0.0016175897595118727,0.003900038694828911,-0.04826182735831819,0.0490104184942346,0.026440631340282517,-0.02218644156495342,-0.047327661701448975,-0.010870421240813943,-0.018570169340736076,0.027693619077787668,0.003490529785902252,0.016360996197714917,-0.01599996029258688,-0.005669621747140696,-0.006437736555264362,0.01895163873895167,-0.006035735839812206,-0.047741407604260266,0.004077504874068882,0.01578539147941682,-0.0012080192759900132,-0.05842761218567272,0.022342363513499164,-0.0070620321485372894,-0.001146516799153674,0.005512411864849742,0.0399772269188845,0.0058233429379970225,-0.030524377402665892,0.006020223327739105,-0.05937519705828209,0.05145690789097235,-0.02667332525937527,0.013280203246377686,0.016259889558635443,0.014573255863936652,0.01444984745649891,-0.0038051530353797602,-0.004359078920900039,0.033457316401206416
2018-04-30,-0.023534565037882094,-0.03737639836637563,-0.01264927474166555,-0.06062234465046945,-0.05058552767943769,-0.03286411625743424,-0.034892289564377066,-0.02378937069615361,-0.06447499323599948,-0.02819248183569767,-0.015003617123628188,-0.008061635513530674,-0.008100768070269049,0.0433766692715476,-0.007933456901126346,-0.02900150946840807,-0.03484324251524129,0.0017859049186199627,-0.03320955327583164,-0.02015423788860038,-0.015219595975616507,-0.033906225078226715,0.011438877957060223,-0.02295136737775738,-0.004914403712054205,-0.038864508741342174,-0.00872585668469028,0.06293538884918282,-0.03547136542417051,-0.024485797818806665,-0.03701922013945713,-0.04142352618651857,0.015751635261616492,-0.023537648757837815,-0.02026669058332864,-0.03389510733691303,-0.029062115348303386,-0.03396609116243243,-0.04055441535372828,0.023312010774017677,-0.008866973487793972,-0.03478684377903707,-0.015072359211736108,-0.02195116974832023,0.01244619692021276,-0.015528130427438502,0.06951229960254213,-0.04463742264573112,0.02011891404650723,-0.004100418572449915,0.012849717243425207,-0.01238718823332996,-0.024925301492862095,-0.0018885659629777063,-0.011808889284963375,-0.05474658132156529,-0.019186717250712748,-0.06467175617207455,-0.019274868945641566,-0.014736826067512587,0.027262280541379358,-0.025034821327465484,-0.014497173827470733,-0.017979120799266224,-0.026128171747193618,-0.005616908910860308,-0.01775614378504331,0.01706214024868391,-0.012925174042859755,0.0009548567137096509,-0.012205413252197705,-0.002518004228022286
2018-05-07,0.009372874950929866,0.019678089829128886,0.03121510665078664,0.00018958345999053883,0.025597480166802633,0.035849642997435094,0.010402103111368799,-0.0029008610189699136,-0.004094371532601393,0.0552902654270504,0.053939196496392894,0.018707849486443218,0.038489719071423956,-0.010688596632165703,-0.002181197814126734,0.04008534911546624,0.04224811257820105,0.06008205510403064,0.025762589069393105,0.026710697404736417,0.07749189221826058,0.03889885481887889,0.0008163384563510956,0.04060356658704656,0.06349682838697523,0.003384031533465448,0.04169498881257527,0.042022511299554255,0.04137266379013371,0.044033270812861014,0.012697503650126007,0.012172497200345633,0.02906514249714731,0.0007025124954553874,0.033966057899976754,-0.003224217901732551,0.029251512156381665,0.016654983171667803,-0.0066920997459952725,0.008786957195718426,0.05007870952253013,0.028426837559189178,0.014125933928312406,0.028761329499994437,0.019777450890689163,0.005175421319347562,0.02752842038158132,0.021285398893178042,0.04653960649757649,0.07393000968802821,0.05810838986822309,0.032383214981986264,0.03891652884948993,0.07041491059460925,0.03688161832563974,0.032895516514561685,0.04380531898610962,-0.007749065720815795,0.04701261596046158,0.032051029359703165,0.04069314237709065,0.04358050188630558,0.050260103953629676,0.05581859058058791,0.011872755878904462,0.036716366205040485,0.023043444485040254,0.02855794541697554,0.02765922486102479,0.04674586323981145,0.04338149852250539,0.042372930289110045
2018-05-14,0.003537730366090397,-0.015148490258014236,-0.004239714842194098,0.04351914662808998,0.028744309922753564,-0.019362920412287155,-0.012303799912728897,-0.017602472544360315,0.09535258023418436,-0.021345391226261334,-0.0038474491167346248,-0.01625692646037058,-0.003589821314027186,-0.005719497622616587,0.008576436366980467,0.045536833883401906,-0.0024340075195692368,-0.0036853620979935275,-0.019314083815466176,-0.015998960951631003,-0.03980243754779034,-0.019811161546331557,0.003076224009191497,0.004698965616720008,0.024677996331070373,-0.007665454011505757,5.0690231992334134e-05,-0.007340878744073298,-0.012359906101213514,0.002610282168106437,0.009329644449429075,0.02555640213921828,-0.02040833433834144,0.00140310323406867,-0.02437030343234725,0.0165523269892367,-0.0006608213804668583,0.0018200712452245416,0.026251400391281488,-0.012743155601847023,-0.02397696868783805,-0.0004936911144751699,-0.007351568256636076,-0.020523875017632975,-0.002856312211139911,-0.0049035603031784,-0.015257443598193587,0.021594892501624274,-0.008790638647720894,-0.023188437355578517,-0.02963306470101512,-0.005191097902203512,-0.010099215507218928,0.02007580844130885,-0.014638862155316179,-0.003895986735781065,-0.02402667206533149,0.025530651520319303,0.05642089246664561,-0.009834465345898713,-0.010350388951652079,-0.02636991192700766,0.03899163538736472,0.020047129696957544,-0.010666528762437344,0.004131931637081143,-0.01844666050752586,-0.014337864040276926,-0.004941105516339861,-0.013773995248968052,-0.0068224254908094695,-0.0006918703844972507
2018-05-21,-0.0011019209292583154,0.005583910344174825,0.0010890378416668067,-0.033544900848617276,0.008651948487793604,0.006511761536590166,0.004321828459508348,0.0013323743367776864,0.006046386441548313,-0.0033048498650101177,0.0007021659001422709,-0.009741934539903019,0.002079891177910742,0.02013412999434272,0.0072437197902452954,-0.01679997137064526,-0.03256385195448541,-0.031112509697404755,-0.0004492004960330309,-0.0043828134963792564,-0.021726634352993157,-0.0012030756479456395,-0.0011263986390268599,-0.006100341406022114,-0.015926615520209242,0.003972816418112535,0.02008798594653949,-0.006339049091604432,-0.06555415028614775,-0.016579976133314744,-0.011493158358125366,-0.0023454410994693253,-0.018020257417658225,0.0008173300880502943,-0.008396743895023095,-0.009545114485489226,-0.0013225991285862326,-0.00964341135906821,-0.013272751902677515,-0.005636549151330161,-0.004229360026357876,-0.010370619715312501,-0.030793410844266678,-0.015123743217708707,0.028478124840085828,0.00160179643806857,0.004044162415720143,-0.002302251725020965,0.01134692894948408,-0.0168766854836524,0.022556967818108342,0.030087863717373375,-0.011222358058014748,0.002104198131190227,-0.0041003202644891434,-0.00969418020670798,0.023305268893464515,-0.023528285741688304,0.004240197727761519,-0.006272475232591335,0.012327971938490556,0.011578737617603974,0.0047967205785584,0.006551150045306597,0.00908740497294147,-0.0018211403224741574,-0.0001977334346250359,0.012013997668194998,0.002483075089452891,0.022346508239835083,0.00615687846165347,-0.008347866494002987
2018-05-28,0.007046893157519607,-0.01665788373057986,-0.0281897527724162,-0.00018752755412698718,-0.013921318159601404,-0.015047331762369276,0.01037847774891043,-0.02055584966831192,-0.019632934300314098,-0.025198866236535333,-0.02894731020909147,-0.009889251760517692,-0.0010192076277270035,0.013157831832992573,0.008270502430256732,-0.00042200532623759557,-0.04268992194348964,-0.009947631808730262,-0.020227713837107197,-0.003408213072322752,-0.01694907601429907,0.0028910487753859293,0.04968663072099844,-0.0205605265306934,-0.021806883979777814,-0.006683256536383686,0.011557569807347123,-0.0023194806867548046,-0.01913285559857525,0.02173617473812417,-0.007124492757737078,0.002644771121824707,0.01512857103301668,0.0008164759393929355,-0.028339131656746397,-0.00812534271666887,0.005959949594289249,0.017640517883439788,-0.01876118771115154,0.02857900223747234,-0.020422839309145235,-0.008650641444995277,-0.011059581865204726,-0.024570263597656683,0.02992139452300102,-0.010701454305745761,0.021970104245839783,-0.02118728737190201,-0.006148665598052383,-0.03395599548012662,0.025479897404556917,-0.007437132333524166,-0.007972917782788191,0.028285584750785242,-0.02045221473718395,-0.0305682193841198,0.0012829951924260286,-0.003037856206658973,-0.01518080643483688,-0.02209385895867988,0.0023085906602156037,-0.020105543424023264,-0.016006616771822024,0.012522666368202318,-0.01327980839257259,-0.029374010441711063,0.004352784418046429,-0.0032751949232066035,0.0040403430205029345,-0.003825322422030264,-0.02280081760146402,-0.024364588823407307
2018-06-04,0.010792680586474201,0.0032990080094081886,0.027989607016907003,0.034340434913802564,0.01696983666220242,0.020630702610224816,0.05586868438964565,0.029706460511482735,0.0449711523978249,0.024918703118575358,0.03992780629355708,0.019663938320294783,0.019199968504459486,0.012677920466923176,0.015691854426721497,0.02321412688990998,0.0591009557113189,0.01762740856646361,0.0209514349976756,0.015673997649662486,0.01768723900779423,0.008407131427536019,0.020533865964351916,0.007519460313822002,0.018510844914640057,0.025336775601872308,0.025241313672812016,0.028289048419837037,0.03413524122657274,0.02918313563633612,0.00906920166754821,0.008499608225454702,0.032451313579888286,0.005362728102457748,0.025685699061409828,0.019459204000723762,0.03291646624848421,0.049230128829715225,0.007575958916197889,0.038695746458168756,0.0250000959578065,0.03999941010244368,0.026513793224211213,0.018591058144113104,-0.009038239910263646,0.030709983130958518,0.023903342757841672,0.016073910955988646,0.03613566653624445,0.0136690405061195,0.01768676614301712,0.03301127812095506,0.010968151907367663,0.013093049103791277,0.025702887902560256,0.012803958365228185,0.006567432934896589,0.01730072414242101,0.026950116006533298,0.02797209313011595,0.030700729639459245,0.020416540216726675,0.01170103087530916,0.025061199315260074,0.01570137693399376,0.026315832132418837,0.02541389726057952,0.029728081725713285,0.01661679116056458,0.018101897910530518,0.04224896152441393,0.027488456714356735
2018-06-11,-0.0030509554847567566,0.001067258112906977,-0.024554340349936643,0.0016329131391186191,0.03295240123163845,-0.024060912735548112,-0.04484518603777343,-0.029064869599055076,-0.028487079722015363,-0.024325043773691157,-0.010945364254659307,-0.021682567823610555,-0.040129735059335925,0.015572232409505782,-0.007724677077967312,0.002990648253092809,-0.010870557546639348,-0.028408284470428757,-0.019772381306475073,-0.03212670244057558,-0.03110858281975426,-0.0066697496501226805,-0.002645069162027336,-0.01969499326089852,-0.01074557919099306,-0.016151593337483616,0.02298329299999069,0.012248094576182034,-0.03583771693671023,0.013515259395366241,0.02266664858217582,-0.0130776062450777,0.0035872643165197893,-0.020408526730257504,-0.006298388987584169,0.009387982387643268,-0.022944533812050305,-0.01718182973925797,-0.015037543563579225,0.012649214205800563,-0.028890236978923678,-0.0073025831187799595,-0.010511667826944682,-0.013381569643830638,0.0010236161492784834,-0.0067551285347901,-0.002549777671008835,-0.023202087623305445,-0.013447980426018802,-0.014447861335334489,0.03884786874553159,-0.0022075892343355052,0.0036683858848858275,0.011501082082301828,-0.03278453956373084,-0.00423725296629085,-0.007638441394506867,-0.019791183525594502,-0.029522875536716064,-0.022641353173124545,0.010703813034327325,-0.021103166227750547,-0.00648818630368031,-0.010239660371587078,-0.008923033586938356,-0.04175847318196779,-0.012872380963175112,0.0026721751329239485,-0.031478174992336294,-0.012571696805195876,-0.020552791560493056,-0.0333975075302716
