Date,ABNB,AMZN,APTV,AZO,BBWI,BBY,BKNG,BWA,CZR,KMX,CCL,CMG,DRI,DPZ,DHI,EBAY,ETSY,EXPE,F,GRMN,GM,GPC,HAS,HLT,HD,LVS,LEN,LKQ,LOW,LULU,MAR,MCD,MGM,MHK,NKE,NCLH,NVR,ORLY,POOL,PHM,RL,ROST,RCL,SBUX,TPR,TSLA,TJX,TSCO,ULTA,VFC,WHR,WYNN,YUM
2018-04-09,,0.01818919213861192,0.020162123421351597,-0.02180986617641245,-0.05287953218785835,0.00907926083029964,0.02579414498824728,0.03101237323989836,0.037790673819667386,0.023548955250563885,-0.02433742220783397,0.0009116798838821882,0.009901259724276468,-0.004925341811982786,-0.019184091546020854,0.02072123861271602,0.04849801640568385,-0.00325431425969791,0.008944502532035603,0.010441418769655542,0.027866444386030587,0.0029127453859989494,0.03944062253842917,0.027093322897884242,-0.009457957752691648,0.03756143731939776,-0.07534908958318731,0.00026183728387185745,-0.022778558286005834,0.02343486731188027,0.0009929379973372399,0.002976408238651196,0.007910803544968203,0.013215838245461686,-0.0044412351547130635,-0.014846850763391095,-0.031902657801489376,-0.05194151185719642,-0.00438032581883685,-0.02464205619952542,-0.005547082238597345,-0.016526601629664017,-0.009492306587234878,0.015427025031367503,0.0007622107544487111,0.0034748094714487365,-0.026126322160331616,-0.023115781919618494,0.06059738168082163,0.011925024334623613,0.0004711538761559275,0.029805519457539953,0.0113662980768654
2018-04-16,,0.06758503011413786,0.009355756145573713,-0.018110492106305776,-0.05002761684366219,0.016449008982484026,0.02181834227697821,-0.001892070276895974,0.13165267962174876,-0.00907325603070741,0.04671122226750768,0.04268760987804865,0.045545079317413695,0.03738263064991143,-0.033048533467608165,0.05764415892133212,0.03589923852873289,0.023973736030064696,-0.040779977234457365,-0.001524391275210868,-0.02891817445525935,-0.019771951821168976,-0.05640360226991836,0.034166659650871845,0.024363151117303694,0.028821873383695573,-0.04074475634114327,0.001571030786325922,-0.030268062326692324,0.050158090939289135,0.04898526739425302,-0.018302081468414055,0.030232578795414744,-0.015175542100064887,-0.017249244068482716,0.061617769358242924,0.0118978977766111,-0.01507537449752594,-0.029900428640525667,-0.025605881915447437,-0.04390466951545147,0.015097646079939908,0.047037105518500155,-0.020932008691648796,0.00990282225932515,-0.03362859323482492,0.015013421901706847,0.03446530564307104,0.06415247127716772,0.0036259152213173884,0.005249373734915297,0.04733143366838899,0.010185180694713969
2018-04-23,,0.02954520617132439,-0.0034758328752545475,0.05509860797359778,0.025894571860594073,0.06556008273279224,0.004855962571757466,-0.059514538755410684,0.0037128144929785556,0.027795957605964317,-0.023072244649256946,0.2873926506650799,0.03723234386593233,0.039718876331523045,0.049291083319368045,-0.09407612675027277,-0.016994342718831712,0.048282773984315686,0.07616989235572924,0.0054291525480894,0.001063591775054329,0.03623913391809652,0.054945056173707485,-0.026236219786710757,0.05338698353158211,-0.02111248926629139,0.00421111558419085,-0.17254889553474362,0.0045443904515305444,0.029695781153058043,-0.0004365790077448528,-0.0029602421310753746,-0.11738151170442146,-0.07730188966205898,0.052504309073502675,-0.01617253371431404,0.03255660573688468,0.18877557171717108,-0.015588610600392738,0.08829695013575556,0.04488565753908724,0.05638905450370579,-0.061046335408036945,0.0062068062345215225,0.030360238397352468,0.013230457159423281,0.04873928116331605,0.13426131773684258,0.0585407118833603,0.042580653232011434,0.05610207198702932,-0.03843952869687883,0.008807530259566265
2018-04-30,,0.005296942983151531,0.07650270319551122,0.033833362669535516,-0.02580835446540164,-0.010644090646681814,0.0158704175612725,-0.009875147138760698,0.048088799004397,0.03340754778445354,-0.012274804428943242,-0.01623962172057436,-0.017047899601382088,-0.0007245507414139762,-0.00930674738734416,-0.00601593191751193,0.03694915771484375,-0.04301714549903091,-0.011314070415212596,0.010631044152498825,-0.024966900789126334,-0.01110720753972505,-0.00560878370651563,0.012348910978906336,-0.007669411021420824,0.05599337639198376,-0.006745264779769666,-0.048025317708034976,0.0076357956787826975,-0.03710800013232385,-0.011424627332239257,0.04251418032401899,0.018542251277462007,-0.004600662482480589,-0.020989262898731043,-0.059178112848708664,0.00020904714933211999,-0.014356787787683678,0.031094816707755824,-0.0025755067018742306,-0.03818442042866921,-0.01187555377181071,-0.03988536928475728,-0.011651517161375802,-0.15519740872463939,3.405053157257143e-05,-0.042427754084881864,-0.02148168344533452,0.019814348229352463,-0.05606443328753419,-0.028209090894920408,0.03943603060414391,-0.053073072777531594
2018-05-07,,0.013890376852852881,0.039205094217772185,0.016801524554785008,-0.05880627422629603,0.02046700180120209,-0.047671781885133546,0.030124202446606407,-0.0070588055778951775,-0.017857140759864665,0.007078800886572978,0.010680027105120171,-0.026930947281599726,0.006727355614105646,-0.018787715671822247,0.006842043715624246,-0.01896044200107616,0.03441687763856627,-0.014965114631053655,-0.01001835542667584,0.004903331150864387,0.016236461544145264,0.011669863057207408,0.028955156318973163,0.028536101231458666,0.023042751727079258,-0.002755402930110784,0.004978498023851641,0.03822856462617796,0.031940550005133295,0.029223242455047815,0.0021810438806189048,-0.0018832786934248613,-0.0128489497663824,0.004846142004751197,-0.0009706705239717062,-0.033236342022100684,0.038957978386626735,0.04502627461466613,0.010974828396458136,0.020692963219359095,0.015239821862607084,-0.002794396918929909,-0.007108169014629073,-0.0025996010563451577,0.023700211427144513,0.01497000967236728,0.039725387895742204,-0.01473951845273691,0.021896280694564174,0.01741709880232567,0.016838946752732342,0.0265681097555035
2018-05-14,,-0.01780514127262023,0.01403155517517174,-0.012438293867576444,0.043612890202530785,0.006042872030996627,-0.002726800018522768,0.025884257972520697,0.05213271855842061,0.03244519646199384,0.012808606809556533,0.01659218265901985,-0.058341750063439335,-0.020207253483446652,-0.0435325911499016,0.0015679120228706545,-0.012329251463227497,0.010183440756991624,0.01251144085576783,0.007927338097729164,0.02439691493571483,0.010834088750606874,0.016733653253546477,0.005772496357602019,-0.01518582734800733,-0.0029431857861831334,-0.04162845157584527,0.006604981917254449,-0.012692876534813102,0.043434125629508324,-0.009297368006962348,-0.02666378365053368,0.016981114770765915,0.012032924634313824,0.042232717352047366,0.029343221202778658,-0.029460278789186112,0.009161046159167796,-0.005745029275152969,-0.04501921575807866,0.059168779957833983,0.006468045763018626,-0.000934050788063634,0.0032982810774735416,-0.03388397154677836,-0.08051556570915941,0.008564443491145823,0.04596354824293236,0.022359985351562583,0.02732821500207816,0.043020635121697515,-0.033835941258019475,-0.026943948366857096
2018-05-21,,0.02272657005748613,0.003184772051705309,-0.02902059637211918,0.05216345809131595,-0.12523970857867683,0.02142920691340655,-0.008859763311139801,0.002252217808209167,0.0214057381800854,-0.009099326166349453,-0.006922145311851535,0.03315327264663903,0.02238011025744746,0.019598319037726464,-0.00991625747901792,0.026990592472433628,0.023985560856784494,0.015886978478544034,0.013386862566949986,0.01349539480624018,-0.00963523717219017,-0.012061920351556843,-0.023974135320988355,-0.0030411896744494404,0.01848252654854643,0.026138846277911743,0.009186233824961754,0.11987483843732849,0.032678473257384155,-0.00105457336541126,0.01385252652025537,-0.027519962306968182,-0.012907672287369887,0.013039605295476653,0.021899184834428986,0.02070085862966886,-0.013965922467247927,-0.024741263921450818,0.018722608763210635,0.18915646186511048,-0.062204529560492716,0.02655194837601771,0.013295904220165244,-0.004271413910383992,0.007333322308992862,0.04391227238084383,0.007141008695302764,-0.017762797258038754,0.020607007165182045,-0.0646253504547526,0.03145501660565331,0.006642201755736155
2018-05-28,,0.01949512517627716,0.014644148258108114,0.030645388253222494,-0.026197186826192542,0.005843605065732449,0.008679830192825921,-0.029343237250637366,0.02022475339053731,0.038793113223936304,-0.009149815613652468,0.022519591231204616,0.007055112142517528,0.010026291359348738,-0.010548597706786067,0.010542692758929828,0.038764792525399105,0.021220476652745957,0.01737604933050063,0.013705265749401674,0.12793742691980214,-0.00010923826966968697,-0.006275606022752567,0.010020680779234015,0.0026761083370250294,0.014114823003369636,-0.03315236313266612,0.038036425781833305,-0.008894170387943046,0.15078171115290595,0.0026818776556469803,-0.02481455757149953,0.010810763411476687,-0.04222907049616309,0.007058954290576347,-0.017550355518079597,0.003424828899793342,0.015617437504030995,-0.020038519584689163,-0.0036099610601277865,0.004151690107723205,0.043573960463388905,-0.03160280135740767,-0.01743777469240937,0.004741636232526103,0.046512424852619194,0.026217348811432784,0.028704026520367076,-0.02350133074508287,-0.0047721734462095045,-0.0381280762520505,-0.008804803749698165,-0.007512585064058053
2018-06-04,,0.025859832457659104,0.017460598456714438,0.03256678663992463,0.08804672134208968,0.05025466744770957,0.0035698976323539355,0.005326063650919588,-0.042951557211466485,0.05580199685130549,-0.035301453682482054,0.03365101894564004,0.033333293130841435,0.0679851070721953,0.046908304078693064,0.05086093058600305,0.05154962420950149,0.007248908421574329,0.03330515853863569,0.007493169251283627,0.0243057308108523,0.03443756856358271,0.03720305694923165,0.018027921323773732,0.0645334484820923,-0.03069459522342799,0.046106165495154006,0.02067028802297477,0.04581012587270794,-0.0013913233074970277,0.0002890888618223286,0.06800053557112284,-0.031771059442232796,0.02980179180814746,0.03228728588403351,-0.02688981378280675,0.05307108153530549,0.03908541348751915,0.05140303980111449,0.07246397140357552,0.03162385555394853,0.06356078898554429,-0.0212092291670809,-0.005447179333930796,0.03910084350687515,0.08854779012393132,0.049989013583652486,0.019300237746492144,0.032265975358128696,0.028771421401919683,0.02443053886496882,-0.07470134422895358,0.015504867822874857
2018-06-11,,0.01899059975098316,0.01904578307931515,0.02814392273978772,-0.016220426085143402,0.03457285082199735,0.0022980669772654228,-0.035785712086925936,-0.02186422891273576,-0.01897278097992694,0.06957672523475322,0.019034815805436978,0.028977600662018377,0.027032801945601426,-0.03054984090088997,-0.03474806320476054,0.27939852377525853,0.026718429820934864,-0.0181817850658903,-0.009862443209594396,0.0009747674403892681,0.01250021231752907,0.010516813530360158,-0.0035655879572717986,0.01114297597880931,0.030384569497702074,-0.02185168699447826,0.026388619528681323,-0.010377314671455973,0.05204063800047587,0.0032520570073901744,-0.014504766745213948,0.018493833240297963,0.01221246928157238,0.012549898570021645,0.06183576353506193,-0.004398648127931892,-0.0007064323935360717,0.01931465946745492,-0.06451994038452757,-0.017717527101202335,-0.008154592099370306,0.10659067061663219,0.009010609683271387,0.011148723622566914,0.1275262716763057,0.0024225243006623653,-0.028467368209871502,-0.02046942513931649,0.014030029872568406,0.021362272688166373,-0.02700430191986858,-0.006732213392634634
