Date,APA,BKR,CVX,COP,CTRA,DVN,FANG,EOG,EQT,XOM,HAL,HES,KMI,MRO,MPC,OXY,OKE,PSX,PXD,SLB,TRGP,VLO,WMB
2018-04-09,0.059467935417310214,0.10108186025060428,0.04496357450855348,0.09517366816153006,0.0215794001326457,0.06836229807890182,0.01783561229760977,0.08917887827462923,0.04157777351539038,0.039668769384408,0.08042541559762739,0.10236839999898661,0.010547069025542477,0.11822666337860999,0.029537942643123927,0.0903301092771962,0.03210426630355023,0.06981554317113714,0.12008562993093297,0.055780088501863556,0.005561576938433399,0.06986777647114684,0.031583326139526635
2018-04-16,0.02043321087088401,0.043598356681608275,0.01992947911323739,0.013713554658519422,-0.024926133699156194,0.05357164539656667,0.08171854607205198,0.028301363739831276,-0.03050135011289512,0.014902197255423966,0.02323740342597347,0.026455967804492664,0.07436417502759274,-0.007709202825476824,0.06931216365040482,0.038571482494716314,0.017603736892013666,0.06988636035659934,0.03520607648227658,0.01883728618949121,0.052876263915103916,0.06599243642344943,0.014314151960256538
2018-04-23,-0.02483890693919777,0.05913505973156852,0.03523875954233713,-0.012767987714396023,0.023397277612321465,0.00988693099210014,-0.019859336673004213,0.024743506106423396,0.05489836535849424,-0.015316488189989763,0.016743791951924214,-0.0204115650031661,-0.03157254668344189,0.00499440278510388,0.020937820439969057,0.0074539147253884774,0.0057106006263025755,0.0031532196735497564,0.022262143984785876,-0.002166666373794812,-0.004622921629175436,0.011330905011362358,0.001960000008483398
2018-04-30,-0.017172489830766913,0.0,-0.008608618902736564,0.029407110381467927,-0.008044086031322673,0.059300640324539744,0.011521387943872474,-0.018237889148118525,-0.026621157743123347,-0.011441018624103294,-0.01211440304848721,0.036729432588244126,0.022641062564986658,0.08890105710113438,-0.0551397554548948,0.008696448682575353,0.07381627288774895,0.038351135147589366,-0.025591020468680448,-0.004198010042925193,-0.028288085327307644,0.03288408110290586,0.024647605964279284
2018-05-07,0.04861965966788451,-0.006666821992647676,0.03433436654506017,0.038588433607698924,-0.03243696208443414,0.08133115627591248,-0.027337070696452193,0.02398393936050036,0.044622847460650705,0.05695694332519374,0.0017245221358914709,0.06830188362588951,0.024829240576579092,0.06490872401371939,0.0050689564319690295,0.09342444024827756,0.037352576856540365,0.01859694298040826,0.04109373058881283,0.033289569131664365,0.06588133945945529,0.010935771511479286,0.03627352044679166
2018-05-14,0.060371729327516555,0.003075873295142584,-0.015249347055120488,0.005717643035624276,0.02690764949501734,0.02466410183147638,0.0869005523562727,0.0713737722131289,0.03682733386745474,0.010384843885239636,0.03902060330950374,0.03093115515928746,-0.02665063127863887,0.01952384296650056,0.02844966664300541,0.005295786991632356,0.00683673196702439,0.021823905519881226,0.03694916945907889,0.045160297777508074,0.004572002237274164,0.0517314961772517,0.024318198649589284
2018-05-21,-0.1054428573812668,-0.03261742799888867,-0.03601226404253288,-0.05866286986628222,-0.031006865214825874,-0.03288824890317388,-0.10491543511721602,-0.06383653356737407,-0.04578279594729617,-0.03185762447515317,-0.07603078585863143,-0.08506049594392873,-0.011201004551543159,-0.030431882439757807,-0.02609340838507679,-0.03535457634267458,-0.005734015847076779,-0.03296044314986557,-0.0906314872242917,-0.07659194310079898,-0.032064629920836696,-0.008333945820571342,-0.0291366028950939
2018-05-28,-0.007892054071883203,0.011705144960366454,0.013585366157371048,0.04307319036251611,0.023555807715005095,0.02020688718712904,-0.0402992526385022,0.005010395953761959,0.033446044408339315,0.039639219316500496,-0.02211611129557145,0.044624807575035064,0.0635620444406213,0.03911133773876618,0.06389601229652087,0.032766831520401274,0.039763298473565856,0.02941181108969726,0.006661812207479523,0.005247927308118294,0.0427442631383419,0.042533322751558744,-0.011485485758981895
2018-06-04,0.08391102506851777,-0.006584664225840586,0.020912343422888835,0.01669327196639747,0.022145099445845196,0.018357430324737578,-0.013333229519826295,-0.005745948114091792,0.023309665369660948,0.021630225112983403,-0.01996765878427309,0.0006474742087863028,-0.002958534024872228,-0.024628093530798534,-0.035766685075831584,0.00434804258910737,-0.0008760809744834397,-0.01815135281665836,0.006930323592030163,0.00681587570196962,0.010657883790013534,-0.03279992047722469,-0.02098978282417796
2018-06-11,-0.014915250681431957,-0.06138329850890334,-0.018981070742986605,-0.05862016344639276,-0.001699361476629302,-0.04530359777550785,0.014215484651882493,-0.029659159771477372,0.044051413152269125,-0.035167266571042854,-0.02753445731134474,-0.029107426970996886,-0.004747716456098949,-0.04764167840525224,-0.0687426804119835,-0.016279224146872773,-0.009788134766260281,-0.021738853720258078,-0.046781165488108845,-0.030429149143889944,-0.056175150642956306,-0.037921988165487974,0.03448643346023039
