Date,APD,ALB,AMCR,AVY,BALL,CE,CF,CTVA,DOW,DD,EMN,ECL,FMC,FCX,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SHW,STLD,VMC,WRK
2018-04-09,0.01881725537054857,0.04030458320357577,0.01895711324466043,0.015503798014780079,0.035150358738158305,0.04243394403228917,0.043442898772243055,,,0.0386126126534414,0.025182269535268587,0.010015479746673162,0.028158456287931344,0.031160173552544634,0.017365170239169503,0.02012640913448327,0.023397129483738954,0.022323875681454775,-0.030165163337125378,0.025598615779427458,0.05879373478367911,0.0154885087704979,0.030869626443776443,0.0055761594510197465,-0.0007259278403856095,0.02529886885240984,-0.006604575433772686,0.03750978375110536
2018-04-16,0.020248883325760136,0.023560285543349435,0.009302270471745366,0.022136985013231136,0.0007381711136926761,0.07238848566083433,0.007545776844616547,,,-0.0019646752981352655,0.018019634382202554,0.052202871934391215,0.024648496641896944,0.0864010480109847,0.02847164771180366,0.003569998757269488,0.02832185190375558,0.04503116262151319,0.003059580769494641,0.0338166512063407,-0.00601000813438568,0.03115374776954738,0.02281137684086909,-0.010272492642897979,0.018057761348619028,0.04710662454254133,0.008332730882695039,0.019538528358724605
2018-04-23,-0.007517677097649389,-0.00818409084205074,0.0,-0.021191105504440144,-0.0029503077352815987,-0.02157574090828418,0.020919398016240542,,,-0.02604493673601349,-0.025526548950749794,-0.012386343548717038,-0.013121248896411086,-0.2086778696588134,0.008545431405070136,-0.015539904479693,0.016923287613274995,-0.009379902441476018,-0.0019827669661635072,0.05724280491006817,-0.016686654023139624,-0.023918300904297918,0.0014638369714954358,-0.008266908627991287,-0.04396147227179359,-0.023779053705957454,-0.011868166214203946,-0.08269192452848928
2018-04-30,-0.013695489878033484,0.03207835079071497,-0.05990782109693815,0.008393052355184727,-0.049568318342635864,-0.0032028114122016893,-0.025803208673786937,,,0.0023321431176668295,0.0019123103003517716,-0.008997344508756222,0.07632638154095006,0.006527537411924911,-0.0046219238240987615,-0.007417473061567259,0.008744763488471863,-0.017624213632068564,0.03906684215605871,0.010313169052485138,-0.024839568833927572,0.014670388566135673,-0.01848651948219926,-0.014540892451766041,0.0063708762439669275,0.013386035142357589,0.09163703234257459,-0.0227012642104224
2018-05-07,0.021688323979580426,-0.015190804404987768,0.021568500551549796,0.018348695600477027,0.0002593244874986578,-0.003320993486193413,0.025707771566019222,,,0.038157242469613495,0.018415840939634,0.012105450043879973,0.01681368506949954,0.05512318430694396,-0.10221578685499721,0.027974887067296894,0.01979717227288802,0.07424371640203531,0.0561272893957927,-0.03171710400406147,0.018662944798406578,0.002859729435574554,0.021638078402619554,-0.056109155766944085,0.009429645074753079,0.04439166812580386,0.03806042770197804,0.0348670681918366
2018-05-14,0.011726670092643054,0.06474532184998738,0.0,0.013281220063008359,-0.015304879403966187,0.05571513739525402,0.04683526936439475,,,0.009562370794258257,0.020800200120860257,0.004621018948362865,0.029358658480932,0.036878000349747087,-0.009872990137036464,0.024417426021372757,0.012116881980694716,0.0324243802795543,0.01791614035821465,0.050828328373486276,-0.030453351616908098,0.038339812225752334,0.03910121451057824,0.04943327065688008,0.01700412401726825,0.05453028060909704,0.01436754636718618,0.01736849668216589
2018-05-21,-0.019258328664499724,-0.09626391317297833,0.0,-0.005682694798046284,0.010801254322726939,0.0031557568232003508,0.01520776426189796,,,-0.027526853615911895,-0.024690280972579637,-0.02110517136128809,-0.02010726932281337,0.012447865398002689,-0.007676525130631329,-0.015101831327324566,-0.015481964978267704,-0.021167133070013278,-0.0073411284074613725,0.004299426635940629,0.007150232718011074,-0.023954772341358677,-0.010810237614355844,-0.014768809408989947,0.014364054937584747,-0.027919861169490634,-0.014396346467448029,-0.034305008753700905
2018-05-28,-0.00884857397890304,-0.005905854478563843,0.0,-0.01972718745479185,-0.04196012492611323,0.006641722955350371,-0.028564486592729588,,,0.007000297789573784,-0.004517169538877375,-0.007670782761219241,-0.01561263502932242,0.0023419161798918786,-0.010925986333525373,0.02935572777288664,0.004647762731466942,-0.005625701319560861,0.03422138981069889,-0.013200098809016625,-0.02028376665754017,0.028607071251108618,0.001418088064087497,-0.013443155956756936,-0.015933797290988427,0.01072007142660758,0.01777208404351338,0.002668476774710715
2018-06-04,0.03039006979346448,0.01177603392687998,0.007677616505635365,0.015892196671031478,0.02557313911189607,0.016668181790270964,0.06696297507395554,,,0.0564524156679127,0.031102170672055784,0.01803643520724285,0.004191748866240408,0.053154229754259985,0.019271158804210264,0.06462727332913576,0.012864203495094761,0.04393536319031255,0.02162307647930839,0.06507591982962735,-0.006728630368916133,0.015957555478729235,0.021659535964671184,0.020978377281786864,0.03121794440882586,0.01540924191823656,0.005567117307895719,0.0139720110016881
2018-06-11,-0.02569574660640983,-0.02139039637854334,-0.033333255572533305,-0.014528998405322402,-0.02526563271494764,-0.0012809316337818455,0.0324224335584562,,,-0.025039746038389543,-0.0013749677431570406,0.0025993963624002525,0.01387618741926988,-0.06322812177429615,-0.0015822386071316918,-0.057473280964774,0.007903647652475865,-0.01514821698177049,-0.0013070499012731718,-0.015409858354995087,0.004167368115240988,0.0,-0.029435701481892784,0.011809967661090992,0.010199487044189492,-0.07843913551708803,0.015764482677546043,-0.018864635840843302
2018-06-18,-0.03715417349117223,0.004967451811408008,-0.014778539404531443,-0.053709853885161585,-0.020191267984575045,-0.02530759737529098,0.016150531890195774,,,-0.011070325649211066,-0.05784229216908365,-0.05253465462816975,-0.010348233287777453,-0.0266428198250237,-0.012756525095451998,-0.043838952707638046,-0.013228684700657078,-0.0372875542503146,-0.007982201190806504,-0.0034507195801846136,-0.024479080374546158,-0.00972340704192265,-0.025125943725499256,0.0003795331980764871,-0.014871424942145106,0.024379947416384384,-0.003936651355304632,-0.030764174176411085
2018-06-25,-0.014865727964271214,0.009308948823008256,0.05000014390610019,0.018453676405434605,-0.010025033681486661,-0.025789765947158094,-0.019867273290739784,,,-0.016118898406584314,-0.02086374529193913,0.013348201959950456,0.003035783190222352,0.04987831780388596,0.0004003721773582214,-0.017358610160158383,6.300698459327236e-05,-0.01053877599493469,-0.018027417535876666,-0.028739575200304457,0.006673705971407928,-0.05589136097055858,-0.030274232329142947,-0.01603130526618035,0.028879048491904147,-0.04070981296302545,-0.01907727348687538,-0.016387834672546564
2018-07-02,0.012984909835270342,0.012827304275923934,-0.004761993631390515,-0.010087946559227734,0.03713088224989858,0.01233596293844319,-0.03423422801857712,,,0.00015157493707063097,-0.002200856835854692,0.010189967461713634,0.008266910683551787,0.014484213053847617,0.010084048815376168,0.005376312490693147,0.03724332999111302,-0.011652241694569687,0.018671867079615545,0.0024955246111697527,0.0031824579893622307,0.019591151568588927,0.013328450304984196,-0.007037267136568159,0.014746134833436342,0.01374238177770537,0.010692823879502988,-0.001753721376710704
2018-07-09,0.004404751808964047,0.0003139684968709311,0.008612625130765217,0.02562582350116238,0.020341798715521886,-0.014764917879974138,-0.013293048276242114,,,0.006521904156578051,-0.0026070004919562795,0.009876070751109411,-0.016039371405930924,-0.040548250255353246,0.024358962605053325,0.015087722670202641,0.016825004870966387,-0.010960685348121002,-0.0029889034349260823,0.0010665790543844533,-0.02616977749090388,0.012314317451354917,0.01368306804588637,0.00961143688498467,0.011630361278490708,0.01896947088212131,-0.03281197690582727,0.009135754645471117
2018-07-16,-0.01894105400348134,-0.01747405832822535,0.0,0.002797285039506381,-0.0007974546592973697,0.023110889612652397,0.017253685852035572,,,-0.008137265741386734,0.005126860502540964,-0.015716658307163178,-0.019130737533279873,-0.05979966015760374,0.005301687270733213,-0.005832599703685215,-0.007314179730822823,0.005122310399068075,-0.011462895794674632,0.0060394146471405286,0.00488598447433608,0.033219024344533166,0.0075761982236581815,0.009712643631743845,0.018475455092535897,-0.006557872696479228,-0.01807232483001464,0.0010443333816718692
2018-07-23,0.04463901605140852,-0.006815933800141893,0.0,0.08186656541305548,0.03139126161550676,0.02029483938598986,0.0339218872552558,,,0.03874204237555667,0.009000837261589512,0.00028386566189708695,0.023427744617885438,0.015238078267483468,0.017682705520612574,-0.015518304355936041,0.0051334987885189864,0.01445341172744019,-0.08259736355065472,0.05155367734685612,-0.0035113133279391917,0.020528323572846396,-0.05488310165149801,0.04228561016312371,0.041420356772080114,0.02193359441587517,-0.044397898697288274,-0.023999974751320208
2018-07-30,-0.007938567654856676,-0.006969661801653149,0.053130847327799824,0.006135490100837915,0.06835196394378573,0.007106465769362025,0.10269641418904496,,,-0.02267084800488084,0.010902938700877884,0.04377425457867745,-0.010035972641999069,-0.017511052317194853,0.022710002984544397,0.010188343093144203,-0.013338557376003646,0.02429468277416391,0.006125318108120004,0.022498128617037816,-0.011656429834699167,-0.04644294047977915,0.018655618522024797,0.013797590571150264,-0.0020056901948888317,-0.07814132314021249,-0.03277590084970039,-0.0053456996241477706
2018-08-06,-0.013065643592200415,0.06360013710523749,-0.07207209195248077,-0.02642509242167157,-0.026557238610815936,0.005263130215493073,0.0040758128661271265,,,0.013768258667903543,-0.02078627026512747,-0.001767573642480813,-0.00034172574298485525,-0.0381920670939393,-0.01333843914633459,-0.008182860789098134,-0.05259770137372999,0.003744988995578735,-0.03300155632904189,0.03415420057205498,-0.023587872127340037,-0.01582129673842414,-0.007451381228350207,-0.03145551623486709,0.00024825582904353105,-0.014240393358968317,-0.03484683503984354,-0.014689972415460106
2018-08-13,0.05536189870977415,-0.03106597993741611,0.0,-0.02913944575588545,0.008432707930404293,-0.007038091965148374,-0.03551846219983157,,,0.0007382189071958312,-0.02182829399316233,0.003064602779314196,-0.03783065121847329,-0.0754467373851826,-0.0018880091292193812,-0.0028778864459561015,0.008075239882536112,0.00470813413522464,0.014340862870597881,-0.05906617654290891,-0.09943802230065335,-0.01686363193493634,0.009497207532689123,0.013385755260442611,0.000902879736875084,0.0027514887149764355,-0.0015383185020054757,0.013577371932157023
2018-08-20,-0.0038414023148128917,0.005867313449493761,0.009708800203186652,-0.010845960930141452,0.010575389787885525,0.004062760786574193,0.05768424084858825,,,0.020946934638066406,0.01330722354447511,0.010996972023537888,0.013027010131097416,0.03579083045898224,-0.0034049525431667504,0.006572413987917525,0.001089755289277461,0.017860614555631704,0.013645318486851465,0.000337453934477594,-0.0009358628561240145,0.0022443790204806913,-0.00869104188245684,0.020291515166846796,0.011003656097916759,0.023324670387030677,0.011509515874181364,0.0014461051762573174
2018-08-27,0.0019278988201585356,-0.004999766183303778,-0.0067307295990767235,-0.005766372546428533,0.01922624372115256,0.005767874320587563,0.040039807856566245,,,0.013292719761516247,-0.01979992169124667,0.010407720818421007,-0.0010522580527321246,-0.029025576215722992,-0.010781139397500139,-0.013313058780666909,0.012675238084607576,-0.020327051455005574,-0.034261811761890804,0.054993310601546774,-0.031220574949707758,-0.00031988775478697384,-0.0065075864740766765,-0.0007231833674629096,0.018306412485625367,0.02189958726123553,-0.004724797666247671,-0.005776149169415934
2018-09-03,-0.008659320590503228,0.01748320408225701,0.0,0.0019014483017201211,0.015320375279129328,-0.015492636704403817,-0.019634016947963517,,,0.0034843888873352657,0.0007213026739525397,0.019072231459905442,-0.03838480051987547,-0.06192173703159154,-0.024791036905401742,0.01114594981176853,-0.019976004817931936,-0.036796957997949575,-0.010048532012143951,-0.042532782939135205,-0.02900421002070841,0.011840050754180709,0.018103939942568648,0.008775256264579312,0.015233106804228402,0.021430178247370923,0.0001805774587986253,-0.0018155691676924324
2018-09-10,0.02280858074004244,0.038172629809465564,-0.006438559747797612,0.04006337923975356,0.04054711442121128,-0.016084397576805243,0.012173343506535428,,,-0.020285953700419856,0.003913535915072597,0.024584356665104057,0.039552387173733994,0.03869512868595848,0.0742957725764164,0.029588155474210787,0.01264242775059321,-0.02188986364771761,-0.011515108189593004,0.02922479375065512,0.008297278506331773,-0.010436589948832009,0.022786367474357805,0.0059186617441469025,0.011804909001448038,0.002355148607508406,0.0034289061787120545,0.015278372822463915
2018-09-17,0.011861450409590635,0.0483276087836344,-0.027916733142892114,0.03392619844732092,0.00974157266420117,0.026950545707663087,0.024442378217744753,,,0.016185607664727764,0.030632164322944355,0.01451123127991183,0.051977940567452974,0.06720226384660366,0.029011204216094377,0.01652892721551158,0.06057725068181474,-0.000949599515010835,-0.009381503772690425,0.050016098218906846,0.043773139822669505,0.02876333765772987,0.02666709443347748,0.03396632344033912,0.00423110381343994,-0.026057604717948935,0.03911871789877641,0.009136635123454306
2018-09-24,-0.020866260225696376,-0.05350032151199613,0.020513325071445543,-0.039109645350639544,-0.013013185683177109,-0.019101268508188052,0.030865177638922603,,,-0.07719899947563624,-0.04164966771829637,-0.013863357671945797,-0.029824101738293085,-0.047227860194013704,-0.004345449761652853,-0.09183304157360128,-0.03465456885798324,-0.02566276714297744,-0.05323128768864449,0.004639661987456023,-0.04309247531262583,-0.014445639633669627,-0.0599878911343501,-0.05906180903087899,-0.03138559410627406,-0.008991108321370844,-0.03764605258759968,-0.051305053106548426
2018-10-01,0.017597169836098603,0.032872467973056096,-0.05527652637661751,-0.015597617327762658,0.04410109417039054,-0.03421071279654364,0.010653907424661657,,,-0.017415843553823862,-0.04878797364113918,0.00516647827274852,0.04184982278486715,-0.04669540591985366,-0.003953107639813491,-0.007528024477347128,0.021838127457954215,0.00965748281638068,0.0036272052370098784,0.01939647390860877,0.01258278935441659,0.01935917487568939,-0.03701333496993087,-0.010171541658978822,-0.029129727215468137,0.009030340812195892,-0.005035891544909132,-0.053892077343817624
2018-10-08,-0.06282570769805362,-0.0773337410486028,-0.020212851970666468,-0.08100498774818798,-0.03853702749928367,-0.10372383061965651,-0.047073542747219754,,,-0.05586311329547389,-0.09401450313367987,-0.07367229759958249,-0.06397536977149665,-0.03993980412663112,-0.055206750697969986,-0.1252563005146451,-0.048709421159311206,-0.057971354858238566,-0.07135403037621302,-0.006644579968721476,0.04774373526060405,-0.054129516388155885,-0.16642987285431488,-0.11970016899574143,-0.07914885223737356,-0.06650536495653736,-0.08721981788098898,-0.1572386777313416
2018-10-15,-0.018133511972822647,0.005678901258961977,-0.022801295947130762,-0.00448863577281533,0.040081655353872536,0.009525551118810593,-0.03414070569513883,,,-0.036372931463115044,-0.02085078175371169,0.017605082918066284,-0.04136242833105297,-0.052935597345869057,0.06263333005621718,-0.01007717632366456,0.02310554403601528,-0.0401022618117165,-0.046644743038037895,0.008209371408252952,0.0046813826256280056,-0.03979631265747541,-0.0014763994966244809,0.06625329840594008,-0.008821528440586035,-0.0320829799726009,-0.08070101079281333,-0.003051438074720081
2018-10-22,-0.038417102472103615,-0.004078221343587707,0.0,-0.09694623777435596,-0.055301829915019085,-0.036438324338280204,-0.12361780803282496,,,-0.09549491483164185,-0.0324376051842189,-0.00814530972466021,-0.06834648952160871,-0.04326118514616806,0.007260047683414372,0.06178976918407275,0.03184257539676483,-0.04658601285281416,-0.030556268627536465,-0.10072379308517665,-0.0680334378132228,-0.03870542307218239,0.02809347868662515,0.01420248855297146,-0.08165978357685444,-0.06483071266815843,-0.048147185018087124,-0.021892510314757807
2018-10-29,0.04289635483135679,0.11759800602562098,0.0,0.04879688973833418,0.09149577124356667,0.06419581945602126,0.1194232118567995,,,0.11019265534041378,0.05566177380813064,0.04920589522721541,0.06161748012555912,0.06434773064569099,0.04174674225895236,0.015384856921323298,-0.03092052492806241,0.0433707948359332,0.1320744931454183,0.07008721959339392,0.08066682753938292,0.07821141666655151,0.049895012030372055,0.039677307581996724,0.08622170557110476,0.06489445944162453,0.15095584242998838,0.07509007261178224
2018-11-05,0.02605228034010998,-0.03814376308039025,0.07777784205416527,-0.004544294167248775,0.027871799029892008,0.011616495144092243,0.05112733536915193,,,0.01645575527994514,0.003878868258178514,0.030661821625546093,0.038652844473262116,-0.07271229124973444,-0.000890321186309051,0.01493155692574244,0.010510375576558095,0.03179381977941942,0.0386630677615194,0.14791594248615825,-0.012338254198549947,0.037343046312693584,0.011591078047774372,0.00748271359334729,0.030966058497150062,-0.014194524950819298,0.039819112679341906,0.02552060105150744
2018-11-12,0.02476554185875557,-0.013674437031346076,0.025773374281114148,0.020760711495888984,0.0373870034773498,-0.002822052048043866,-0.09823838674373098,,,0.008691322826875458,0.004346755775783917,0.00018825102732145105,-0.00442748595108855,0.05374433997299777,-0.019060698970793655,-0.0008654769870192203,-0.02129755820322976,-0.006558326532382197,0.02539501057625526,0.001091869683985891,0.040599586239907115,0.007167767719074458,0.010937609863858722,-0.0006338791603511806,0.021984010997212478,-0.014647670788747735,0.007375253695998785,0.017312653296130298
2018-11-19,-0.03887431852104506,-0.0416914687274913,-0.02512579769305945,-0.014055959795633122,-0.03227725913104629,0.0032204289295423294,-0.07659094723011894,,,-0.04662971478182576,-0.06660255467259368,-0.03840358308978653,-0.04230752590541176,-0.09949819568123885,-0.023275282589627744,-0.01679064070056735,-0.011956146649151678,-0.0480982945918359,-0.012012697063713551,-0.04554122575996333,-0.02581028557293441,-0.060256018550092105,-0.014940842925265874,0.0011197219199277075,-0.018864312095088653,-0.05668930043750686,-0.032006857892544316,-0.01798495611863149
