Date,ABT,ABBV,A,ALGN,AMGN,BAX,BDX,BIO,TECH,BIIB,BSX,BMY,CAH,CTLT,COR,CNC,CRL,CI,COO,CVS,DHR,DVA,XRAY,DXCM,EW,ELV,LLY,GEHC,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,PODD,ISRG,IQV,JNJ,LH,MCK,MDT,MRK,MTD,MRNA,MOH,PFE,DGX,REGN,RMD,RVTY,STE,SYK,TFX,TMO,UNH,UHS,VRTX,VTRS,WAT,WST,ZBH,ZTS
2018-04-09,0.015980582503000607,0.022833740962052484,0.0582879284542146,0.06724301994232862,0.019864139943139847,0.028643022543212826,0.04580030251586287,0.012126142486956315,0.024908722302298347,0.030040834214274614,0.03510051448200624,-0.03047181998909032,-0.03157549058524478,0.031538449800931456,0.016508650882172793,-0.0036438325151497697,0.035948033666519,0.022822108729719792,0.015551989577959002,0.0007890882399488319,0.02669169607344246,-0.0020624663800671295,-0.00040807012163279754,0.031788961924917425,0.0023998388123245284,-0.012278517455827531,0.03734551060545477,,0.02465585456515451,0.0004156635345144988,0.03294392833071802,0.016195447368801297,0.013710478333202492,0.03352016222536891,0.058158409865241456,0.09528282448256387,0.013966883672266173,0.04559328445518629,0.030152879877292538,0.019672139361857965,0.01961009862282803,0.022475182373196345,0.024858736359255396,0.07140160530505724,0.023322429094970287,,0.00954511330034169,0.0326980128916281,0.030021354333655825,0.0061012242933720096,0.055864210889525756,0.016666973365627724,0.023414817166188318,0.02049412637815551,0.04394361779224076,0.04276124258310299,0.0014285904989053133,0.009620258519823954,0.04628848874974678,0.02783403590174416,0.03817735147266732,0.06649035104153445,0.0037077679468096036,0.0321104707648221
2018-04-16,0.01683901175017377,0.01882985054979991,0.005058685874302693,-0.05597582847376781,0.00046660130364495345,0.020237069971952293,0.033323032708819644,0.0551282896939127,0.025713175440663205,-0.008930349688948125,0.018721324501722814,-0.1275362375615483,0.027309113710335176,0.041014206926515584,0.03513035958708732,0.03741558408295376,-0.005563450733680808,-0.009962423260636122,0.016939966494724512,0.026643322276772574,0.02116061591199636,0.013513488926886197,0.006938701592354546,0.0012434922727342368,-0.005441091114116059,0.01824153714127874,-0.008279219099891266,,-0.020207463495334643,0.012152144609550275,0.0013047766459293175,0.034575871514567647,0.022599069764564605,0.025915117594836667,0.013088152875065706,-0.02410157409026381,0.020602777839654474,0.10042680666935233,-0.0045031465103776425,-0.030317176848810523,0.0021234399019922634,0.023800821753693358,0.004147061494789606,0.02903624176452202,0.015047231591033494,,0.047396862655164185,0.008535509100153105,-0.01603852853144916,-0.022732919561183063,-0.0005058683174550271,0.003363527828267321,0.017265175799589194,0.03725871782218926,0.05246133836586231,0.007184547764153226,0.0480649636459789,0.0073555023730469404,-0.020075627395856332,0.0024618247559258233,0.029112293280069368,0.02430797595285794,0.04499410292955264,0.02249604651903958
2018-04-23,0.006251147860557582,0.06619876534145752,-0.0188009755718046,0.04383367568388796,0.03439010618619576,0.04712945168971672,0.005925625332498186,-0.004526594709740039,-0.003992453733403956,0.05239145066871931,0.013522863647191796,0.021496905947040235,0.060415340768524395,-0.00047756583700042654,0.03560686182665651,-0.00415799598565425,-0.003698078826418816,0.023596627576544682,0.024964320256358086,0.08238799136272279,0.002960378143136655,-0.008313706341911753,0.02026756808227015,0.024561870419678833,-0.056896895569928496,0.05785821029557692,0.046420746255073864,,0.0021712547056775833,-0.012313995774123843,0.1119154279812089,0.027676276616353412,0.00941803406721542,0.002236352942344366,-0.0006132835303771511,-0.0799357181982856,0.007497910695339005,-0.020251179599031666,-0.008430140054730528,0.012711414660185216,0.0566086245591324,0.08123092332874382,0.017396740100422248,0.010878824471047821,-0.022106248325332367,,-0.004572091157040159,0.01010096464171406,0.04665830954276906,-0.00381865459675812,-0.044635510811821044,-0.006568067550986489,-0.006559854973332002,0.039086990663575794,-0.001143363747456827,-0.014127316814797952,0.021781823097207553,-0.05127784319998252,-0.013278475660903899,-0.03389010718707697,-0.08505838404878008,-0.021321059374115547,0.059825924103051875,-0.005681287410915337
2018-04-30,-0.013767650135482534,0.014585271605203953,0.010862789153477603,0.004148923418153316,-0.05342018303699925,0.002420999344377117,-0.040979872390356054,-0.025741782950987502,-0.028192249181342333,-0.023338120447858657,0.010947646248226306,-0.017983222059447246,-0.19462163800283083,-0.02866700299671532,-0.07198878392407848,0.058818221517953795,0.008185025343575125,-0.015981338444145954,-0.018115606732854506,-0.09792716637207688,-0.014167507125286694,0.04998411850204176,-0.006952645321599227,0.12404039171006942,0.042385271191506924,-0.024963635552123442,-0.052339040012531535,,-0.11427047248168043,0.013506655197354389,-0.016276046573087455,-0.03633130800307194,-0.03199860624373696,0.07611944987574137,0.0015136444287005002,-0.013182942001695785,-0.03961528772095457,0.029953246724521154,0.026645928212971848,-0.03180802799622995,-0.018450645755399675,-0.07152345729246212,-0.002583210621647014,-0.028922116170798762,-0.019574189945826825,,-0.011659468265997064,-0.05837821315029379,-0.012069059171529783,-0.06963740183048939,0.035279324403934886,-0.01740713912175651,0.012053251492009531,-0.015644130348771546,0.00136679736285239,-0.013014579516664737,-0.017819816971421543,0.02999822492872828,-0.04267865127756787,-0.0854090979277704,0.005669300950418288,-0.01056910725274629,-0.005987237790974542,-0.03866098454527167
2018-05-07,0.04290066551330107,0.040032035922350495,0.03656766049975779,0.10626709226532527,0.035182714560092476,0.001988934962230182,0.002581513869299501,0.12720513697662805,0.02427660453992364,0.044573568372346495,0.014213200918367308,0.010325165361458666,0.04319940643242037,-0.011313307579904786,0.005904438649204202,-0.01894555555562827,-0.003776092936151554,0.014955560914354793,0.034251664410328564,0.020761084147054243,0.01606796978296421,-0.005573894734809515,-0.06121247916803385,0.04001921883445769,0.024782993622319616,-0.004845941159753564,0.051658241576125974,,0.01131164511414906,0.04336219235529204,-0.034546645767932205,0.00870018491174096,-0.00929023428172182,-0.0038642416457229656,0.09055625458256045,0.0695315597273336,0.02944684432023492,0.017223455731083748,0.040395880989762656,0.02455909531862388,0.027086971349998157,0.016278638330008866,0.05525367361097433,0.03359292335633479,0.019440477005163492,,-0.0014298751168455581,0.01894376554200039,0.009852144272915142,0.0538712530177039,0.04369599910129285,0.03886320848201863,0.07394377190084245,0.008809510635821693,-0.019956547011733883,0.030846877641715675,0.010088721294286396,0.005009688070792606,0.04404579863403235,0.06753734577162884,0.025785585103828446,0.02363624153694377,0.0018932130326834162,0.03543409675118059
2018-05-14,0.0073457417122027024,0.017277950709439605,-0.07386610534792992,0.04017595782738792,0.013859395658064821,0.0011348365328547327,-0.001021153253419782,0.023440214815984906,0.012063641334311592,-0.0070470648703021554,0.016016064750828063,0.01639010168076216,-0.03562410832959917,0.000497523815524703,-0.024286170437284316,0.008213865710925639,0.003790405860948143,0.02498139351507289,-0.004310515936712944,0.007917613461296158,-0.005500776120472062,0.03196486202192461,0.012145909012610145,-0.0017281281175700602,-0.015639733926317012,-0.0007758520248583034,-0.00460915282219776,,0.028113664697426266,0.010316270114134607,-0.013709889240247852,0.01463673282431488,0.02862460853307236,-0.050241319569768295,0.010037916369099564,0.020767568791423496,0.013549486851420767,-0.02041214466016017,-0.013492520238224892,-0.023577485496070638,0.0015345290229602515,-0.0019438239299813809,-0.010752332829694011,-0.00921422647923209,0.01679917730512437,,0.045346005775396714,0.01374366404317362,-0.0034146550608133985,-0.016713379950506146,4.8198393133747075e-05,-0.002379254520016194,-0.00231442905360868,0.019648451041250237,-0.005006000686804235,-0.0074348608186136644,0.02669133496337217,-0.004224348099678754,0.00814261885312062,0.03254361442057929,-0.012008958676184345,-0.009546897583719294,-0.016661238990086757,-0.0005919810191165054
2018-05-21,0.01069531697461179,-0.04623514262982531,-0.018190442487604708,0.06892620317087883,0.01880729270822923,0.027337094011796292,-0.005688402787406011,-0.012788901253150131,-0.02712955321468158,0.020720391173541408,-0.004597743628547479,0.0011385542000619253,-0.016688332769015046,-0.03381403702323871,0.012914083817115563,0.026347729137576215,-0.016992382201190925,-0.01218613132652746,-0.02383102959556227,0.01709818228536708,0.0086916641347774,-0.003376443741337498,-0.019578932971942242,0.015579901331195023,0.0,0.002243004437366025,0.015483757583512947,,-0.00940899309515486,0.00836341436875343,-0.020989730979934507,0.0025759524705619707,0.005258188215149451,0.01464436402595215,-0.012793458802403235,0.008845620786146036,0.06067190803998912,-0.004860602529129676,-0.011118737419624991,-0.02229558049306235,0.033652981902665635,-0.020883309915760373,0.01961234894404784,-0.0008454544108187356,-0.032031237937440005,,-0.004223688625939914,0.0011223574350645027,0.035829701073592846,-0.026738701134815912,0.0146610229516968,-0.015237842647779387,0.0022230359313160086,0.005612948290958819,0.007190086731962975,-0.006001815974309932,0.0012674320277792361,-0.009926918578398225,0.001653488283853033,-0.007059898620643157,-0.018077923874236013,0.025890859994789794,-0.029868966815805753,-0.00864929904449474
2018-05-28,0.0006414250275712519,-0.029976452183487656,-0.005859097324642071,0.045677112458910596,0.029903285752194142,0.0023435598390710854,0.005408075705204185,0.009412086415421905,0.014447118453111862,0.03801406382600092,0.009237898105545206,0.006822075858857302,0.004195082553646534,0.02007202179737222,-0.025149280762421955,-0.007177828806486208,0.038317541519315546,-0.0288801935893509,0.001580718480476806,-0.02968349264675274,-0.01507906598611064,-0.011783812917220193,-0.06763997957279588,0.04772723804820678,0.04383966923838156,-0.04686107831933317,0.02512978676248223,,0.013653692942376727,0.006075822548815557,-0.012778657612179667,-0.02106885234846967,-0.01606608943164356,0.057241059581714326,0.03797605478628574,-0.007598957193444278,0.021437012006002343,0.04969778031333383,-9.95237435867935e-05,0.005675260018839667,0.0015373346054219361,-0.02448420858200917,0.017728798096788845,0.024877505158864777,0.025539322808235232,,-0.023501123155635684,0.015975195083109073,0.02022484994935736,0.04473348908997066,0.004266859265244838,0.012648017488976482,0.008486774158291466,0.009667599340854816,0.011883682418982078,-0.00851842483675469,-0.006532289217620391,-0.021766983307195398,-0.03460315522693458,-0.013712473414459692,0.023865739299358646,0.016060421079334475,0.01377389162568865,0.020915703171723976
2018-06-04,0.013779686196191188,0.024273402933431276,0.0469894695613704,0.04076981368142918,0.003976940383501493,0.03133721566029113,0.030675154519246517,0.030794044998515346,0.05802452563685501,0.020869138252570973,0.04445899325163971,0.0005645172659511921,0.013102816520663918,0.01261352188947229,0.03299760029406107,0.019052461253584063,0.05549389426175977,0.040920334374947354,0.01797387273008133,0.03059155690107862,0.023958935633120015,0.059025293337669815,-0.01059423592301989,0.008676822974374998,0.006412513905930339,0.030699613611034238,0.0144961539007058,,0.05285529844493109,0.013638852188497363,0.03725009943628743,0.006299256904952699,0.028341675077142137,0.020245173653393733,0.020627555763082617,0.030923256676141042,0.01782326984650373,0.01116332052645741,0.04089959894240747,0.023090710843191475,0.024887537410648086,0.024416817685193104,-0.007400627458194475,0.03335517669107002,0.045448128913115005,,0.029232188951028082,0.011586411345955616,0.01639636224165697,0.003975499222143908,0.031189717553316454,0.040393530186805915,0.019126192091778682,0.019890165751535793,0.05281158764560434,0.024501019213761133,0.030121367163534085,0.01093845986616837,-0.009865175730969233,0.06488151755064697,0.05184431626123387,0.04032268771491587,0.01678352412653017,0.0159210519975701
2018-06-11,-0.005689848874714576,-0.008563312968564829,0.006085588441737011,0.04612452653828458,0.0038524308701868293,0.005884117993779636,0.004633121776459692,0.014319598776200149,0.036624757910432626,0.005737050958990908,0.03161184029468811,0.030850357406563278,0.026241944812406492,0.03313407701240956,0.10175425535854243,0.03305232589238627,0.02742724481323866,-0.01552204460542117,0.020756969276078285,0.06148714773369046,-0.006699158317707732,0.0340604935256994,0.046089285404519176,0.07225807764196901,0.06784763091593926,0.07739661901772465,0.009293774499266938,,-0.023362375556250647,0.010627313390675353,0.016222984228995596,0.054512262500521214,0.030413696407617596,0.0372291672598557,0.023827256851360223,0.056420466043637596,0.009118197429690111,0.012154352311191552,-0.012619500134608441,-0.01168805045084631,0.013104638288724546,0.031849677260691545,-0.004588226489758429,-0.008788856814237356,-0.00985103300922019,,0.08862785941306495,-0.008453864969939495,0.014491537425894485,0.02336897613378852,-0.009270537091487507,-0.005875135274597043,-0.0017807441383649314,-0.059066344681005134,-0.00420085398757819,-0.005621757734159849,0.021142218610455732,0.0015611866158675713,0.029691140020544404,-0.05705996600340546,-0.019822750725855154,0.0442377581044231,-0.009781348348859908,0.027886660520891393
