Date,ARE,AMT,AVB,BXP,CPT,CBRE,CSGP,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,INVH,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,UDR,VTR,VICI,WELL,WY
2023-04-04,-0.0027339854895050975,0.01168567410361332,-0.004728326073279221,-0.014917043172175681,-0.0021194861450524183,-0.025559888233611106,-0.010905918810679704,0.01111777214806664,-0.005786613965025,0.0007465147447351939,-0.004024827953056032,-0.00028800158231012674,0.036632006131300354,-0.0020257768926276176,-0.001841475202548959,-0.00737110127637175,0.0019236638292383645,-0.007922982811218837,-0.0066768202639785335,-0.004405315437693735,0.002504663171031707,0.0018199421904330215,-0.0004772362664150487,-0.006204169620994904,0.006705146793050787,-0.009873719200545028,-0.0031776934814018443,-0.00937641599982919,-0.00430909202548202,-0.018820663529001358,-0.0016666696888114618
2023-04-05,-0.002902624474851234,0.006094882426921355,0.0001805720503698094,-0.005678618035782401,-0.0008688006292713046,-0.011705003359042232,-0.003969371602342342,0.0002244313353343408,-0.027699980904981825,-0.00937395692330878,0.0037043404618406495,0.005569508798849876,-0.0009364313686571757,-0.009235754797733864,-0.009225099217614607,-0.004950414840660722,-0.0012800222923673443,-0.019205223091610213,-0.011375468862322657,0.00020111328311123167,-0.014587369253752036,-0.0032440147993413326,-0.002068715989696046,-0.01002136386384267,0.005725579726218122,-0.012218102540162867,-0.005394800607001704,-0.006862247185685955,-0.007109754568065174,0.002557534553093044,-0.01235398456496295
2023-04-06,0.005903242032987199,0.009770778688278137,0.011243318154820825,0.010850931963307442,0.010339018232034869,0.003281902419088434,0.009003699045779578,0.005234761725395609,0.007981478479017756,0.010528149398497666,0.008891163065607888,0.0014322945511904273,0.017310230666618853,0.0012292059991716453,-0.0018622359938408328,0.0,0.008971513810197784,0.013765039061948592,-0.0026151760855787076,0.0071719841310362575,0.003925724347605408,0.01148871234550608,-0.0022323834244849516,0.0006637928438533169,0.005692984091919762,-0.00163714050007302,0.013452998004694239,0.01572551414725476,0.0062266868131373165,0.014030611680901028,0.009127845600529483
2023-04-10,-0.0029746079720153196,0.008031465358241396,0.002556599121845471,-0.005838013441449408,0.00229546331473629,-0.005120190909572275,0.006729067881298345,-0.0029757321886075827,0.01869569608973798,-0.007015934123891454,-0.0006651706495137688,0.0049108137787139405,0.008784434889742121,0.00020462959944556047,0.011194076066858294,0.011815921476075353,0.0047633436128127205,0.0015298692868543906,0.006292775399962869,-0.002595437815897994,0.008065192513369679,0.002155685829276388,0.0012785199311422524,0.002155928313278377,0.007932905314693484,-0.001913105013537919,0.00024576334317183424,0.029322067562931542,0.009591652690714936,0.0177498576278754,0.01943048212083487
2023-04-11,-0.00790189986842571,0.009743183077584705,0.009963192484281347,0.023110357923490588,-0.0023854908138909448,0.0072909529446847365,-0.00029056441666786004,0.0036561308526510405,0.01306260013952687,0.0004107882485262504,0.002828676683225284,0.003036499784045299,0.002801047482758001,0.006341977756731065,0.014298866948794453,0.007990089379032561,0.008849587801638359,0.021195356812550248,0.005211065873575782,0.0024687862234225033,-0.008647201201965826,0.008315682002199898,-0.008778934061095311,0.004964440885341315,0.008634509310576632,0.005476512294399827,0.0014745082938549814,0.010483111512153087,0.007048683948480905,0.020873362220899194,0.014459454222433
2023-04-12,-0.012353772946383179,0.004182941808650087,-0.0012330442603225578,-0.04499156947137195,-0.006121444126846787,-0.00879935785748065,-0.003052423031278062,-0.005650025380394941,-0.011082574717675264,0.006383148306091213,-0.007632276584730757,-0.0018447886747220421,-0.00765129114100227,-0.013722242570769483,-0.02091848858074885,-0.017682814749452658,0.0012532163656502338,0.012528090916896772,-0.016589005810220714,-0.007255042103204268,0.0011412587874291003,-0.0028658560574491565,-0.002898537920777211,-0.012185128500387998,-0.008825641465724954,-0.0059005132242200276,-0.008343438225319577,-0.001127610805188195,-0.0018259509162764642,0.0039010206761440624,-0.009394263261909952
2023-04-13,-0.01629351638123222,0.005293257046298239,-0.00011763044349621943,0.00193864144730993,0.0018283347851855147,0.013029835478609142,0.017203679372759018,0.001345745580698221,-0.009375047928501523,-0.003276841720529222,0.0038454881213105807,-0.0011373011446575987,-0.028331896541315627,0.0008245077784474475,-0.0032513907439044587,0.011793732046195382,0.0078221981455191,-0.007202242677493476,-0.007379974855420746,-0.00223356020292953,-0.00724691535421762,-0.027590485610462623,-0.006298421709182489,0.0001666622923282013,0.01406343425702783,-0.005205010681319622,-0.005196781408687623,-0.012418253245928712,-0.003658521765674272,-0.0017419488819995221,0.019620639221748615
2023-04-14,-0.00895098911541714,-0.018594977771259513,-0.0012347117751968506,-0.013931892261003775,-0.006339983802972071,0.0009893949798476243,-0.007882979057272754,-0.0347942382033124,-0.02338729088888236,-0.02826264728596961,0.0,-0.013473697751729796,-0.02317525923229402,-0.0076201702199957255,-0.020969261495468294,-0.0006132656300130712,-0.00031037634124408964,-0.018601120821940986,-0.00690385891587697,-0.002442036848065876,-0.017716537067665072,-0.04650100520753708,-0.012351815591156279,-0.005666623367932999,-0.025701870584737496,-0.012667531754214312,0.0004973956816958225,-0.005715393942876568,-0.010097954013204347,-0.005503409360266498,-0.003207190007564309
2023-04-17,0.04313331751850735,0.009377014912424375,0.024490661010790893,0.04140516127360261,0.030259066758856035,0.020756865674069758,0.006789962617951506,0.022510802500522287,0.07150801173439292,0.027966507334133084,0.02131907530121624,0.024333896098660546,0.007736550031735678,0.015565068469328258,0.023322284141622296,0.014119081863051441,0.024844723914027034,0.00815011096600049,0.0224598017936517,0.02128394519425636,0.028223133004331658,0.014224266044459366,0.012999953486080962,0.01407977428129481,0.017986305517430523,0.03523612442207802,0.02610646383064119,0.021154236888658806,0.015765113285661103,0.015521771358806058,0.014156990343721976
2023-04-18,-0.0014566070905960293,-0.003112684628616469,-0.004022375584871285,-0.007914127116957603,-0.005817789248939165,-0.0042882494766598445,0.0024393480124820233,0.0016644910445680061,0.014241186639127656,-0.0033618100236491033,0.001793874539020468,-0.004225289088428341,-0.008508763851053258,0.0011238871426166863,-0.01348841926097677,0.006658433968149469,0.0033332420737306467,-0.008648309787083197,-0.0010459665130677642,-0.006658222600353203,0.004628877166056755,-0.013243865679927969,-0.007310038108527039,0.0029752182259361604,-0.0004939846925731128,-0.00044897968862744886,-0.001696035848021693,-0.0022518435509938373,-0.0024346213377183235,0.002791040018245372,-0.003172594777200888
2023-04-19,0.014910778228827803,-0.00028822535114625403,0.011192988446131258,0.023741673805486085,0.009061021540288428,0.0037509951441312417,-0.002433412073576835,0.008685800786026432,-0.01086400780913277,0.0019842729749905974,0.010906662271878753,0.015558613980031888,-0.012324105404656116,0.0,0.007543673951369456,-0.009621130424756652,0.005436578345404008,0.01877492064496522,0.0052355165826902805,0.00931697843363688,0.011720976634531866,-0.004989787650378608,0.008672998956689826,0.002966327691766635,0.008629643779757057,0.006828376270484826,0.010436739004718643,0.00947866290441457,0.004270909954452451,0.01060295986373827,0.001591346084877987
2023-04-20,-0.011258256367559838,-0.012156441838756193,-0.011582724872640893,-0.030055739075490195,-0.004957547136854146,-0.00013843787170197963,-0.009757501526097778,-0.049569354184892944,-0.02341721640626937,-0.0027441238375811583,-0.013365442993353738,-0.017084502344447805,-0.007512964775430397,-0.009593791020863884,-0.014506290466089533,-0.022465078386626147,-0.0030041344098266087,-0.002606113478263117,-0.008854136644319777,-0.008035630704846253,-0.015260479886189615,-0.005153365859869585,0.004704737644041224,-0.005093580655129881,-0.025214948080558797,-0.011511682124539346,0.0,-0.0033533376390353364,0.006075369861693325,-0.004852331983593583,-0.010168408752375568
2023-04-21,0.004926027082349238,-0.00705285312660775,0.0005773102411650299,-0.0030604021214827304,0.003854114265500197,-0.005260205767649184,0.014345715593736763,-0.00756328435196163,0.025358026936807887,0.011318728382679444,0.0004895968229634562,0.003306278608740554,-0.005002503017856097,0.002473186958743989,0.003323763143052272,0.007453387804893019,0.0030131864268547748,0.006159048646019016,0.007882319430859264,0.005088107833013389,0.002677427937893384,0.002954978410478759,0.0064589191263904056,0.0028076403911208025,-0.006766423991404924,-0.0009931005947045879,-0.002402118362451189,0.01345883376918433,0.0063406886119556916,-0.0032947252632712365,-0.0038523097080873647
2023-04-24,-0.003134012942211717,-0.0009796880266379482,-0.0014422619385781044,-0.001726746378443611,-0.0048693885587113295,-0.010993611311124085,0.0037143162318638012,-0.011828129250347597,0.008795610201560278,4.214037297090023e-05,-0.0016313621501232722,-0.0034836717233587278,0.007012254083963665,-0.01336341300441235,0.0033129413258814466,0.008631440221557707,-0.013217351797100041,0.008347264783784558,-0.018769639224620716,-0.0009992257606660226,-0.0031558237359107233,-0.0013518087447921268,-0.003850583579955824,-0.011857817688832428,-0.004904973829585768,-0.0038856772971685993,-0.008909220009843732,0.008853515315498495,-0.004200551228269012,-0.003966698380039602,-0.013857545318190945
2023-04-25,-0.028295047136045026,-0.010787520317223631,-0.008608814771873141,-0.033250059284589795,-0.01326807664829166,-0.008301622912960216,-0.025049844615972483,-0.018075241020494515,0.0015386522661204882,-0.0041513034554171435,-0.011111080357853798,-0.01799891000805054,-0.012350536175723348,-0.0012503735631734791,-0.004245417671700613,-0.026894943339048405,-0.01461188768679722,-0.0018396967247462648,0.0021254907384580246,-0.014268510364654818,-0.020699707017236224,0.006594899277931665,-0.0008051724147866146,0.003500046578940763,-0.01564833283806155,-0.009162656922976242,-0.007288547673077961,0.01711272539344577,-0.004218210540686718,0.014071478043103713,-0.02320264440217812
2023-04-26,-0.004230973725482978,-0.006939633126271105,-0.0030888602460250603,0.017494989485677293,-0.007915343318643409,-0.007661760638582926,0.04992698056854472,-0.017098929661286344,0.00030716104830674773,-0.004675507234516374,-0.004461368555283007,-0.009092146518185351,-0.006318898865489753,-0.012413916341814102,-0.016106161477401626,-0.007537659689144771,-0.007105316652651461,-0.007371842149042185,-0.010604491632643542,-0.002976232132846368,-0.013014003530770535,-0.0047240303320461585,-0.011766656212884974,-0.01229029965499484,-0.005643362317845013,-0.008057260321963633,-0.007097379929720593,-0.011647923820838235,-0.007261575791467245,-0.002880025877960657,-0.023419182588285015
2023-04-27,0.022411046956889447,0.026455067819695532,0.03852459985628909,0.03204381889073882,0.024031553001066408,0.08864736533911866,0.07299777716438993,0.023555831044512088,0.04177331277741381,0.0185213040226615,0.02589220227004385,0.026604554960277582,0.011580389604804564,0.021971019650515622,0.021184456951341524,0.006961982805366862,0.022713128417273465,0.02079471444052472,0.0176848020337399,0.02659435790703868,0.0261191357568884,0.013165468450804463,0.015984357501181545,0.01580628389901051,0.026578789916173795,0.020860246232206503,0.012817355955910825,0.028808373361867146,0.014629686163425859,0.02389391749857861,0.00685167420550048
2023-04-28,0.011896984141169131,-0.006078596066632191,0.015310944984908259,0.010223402378861213,0.03304244044458016,0.006829580727993001,-0.002850864661438579,0.0009758556391912254,-0.025552781386207313,0.005890324284112625,0.023297183458094173,0.039109016493182436,0.006087927751242672,0.02211892388035297,0.03583214532353396,0.016341955057605606,0.015211405116570154,0.004728985643851713,0.010532002295220444,0.016389029891865636,0.0251268644848599,0.008207114391729275,0.012976509375972611,0.016884622053376708,0.01572901709175234,0.024593147360436163,0.005840809131694824,0.019304262428598173,0.01952525777691161,0.015771306750986147,0.01769309896161264
2023-05-01,-0.019004639193827222,-0.023924835683999834,0.0072074227378418065,-0.01030736930779974,0.011085730396219962,-0.0033916269737798155,-0.01091613217938947,-0.008530315302760827,-0.022390337161667384,-0.0028589134144084705,0.006482151118281543,0.004232446869657069,0.0023676324246766356,-0.01223580205058783,-0.015020476312602393,0.0006184422114852151,0.0014984664961437133,0.0023532569486472976,-0.017717499719659857,0.0045513788274291755,-0.02275448915638678,-0.0075975476346074045,-0.009547930182331799,-0.012860247935584157,0.000574867126307943,0.0015001908602041425,-0.002661452522063068,-0.007908512987869099,-0.004714065809017787,-0.012118168834985732,-0.005349443240501461
2023-05-02,-0.018634019082852116,-0.016892259236925056,-0.018825313098537744,-0.030297257093932273,-0.017614787113228614,-0.01701574641091419,-0.01786888187419866,-0.028842994527132904,-0.02249038201548237,-0.02609383494505857,-0.019635560502101357,-0.015816151538314394,-0.007808352123660933,-0.015151567754499107,-0.02125691156873455,-0.012361014954774818,0.006882137751597073,-0.012461542703624318,-0.01697622853661329,-0.027831753731087816,0.0006536136922301594,-0.01975459880816588,-0.013656929111132587,-0.0107189424369728,-0.05382307032063749,-0.012688244124628656,-0.02523047630447084,-0.010278990459589576,-0.03197156590632644,-0.011627854825384865,-0.02319326899146612
2023-05-03,0.016227471286594186,-0.02121043646364107,-0.0025245563443432317,-0.018355724004634588,-0.001097749717380303,-0.013448763738370895,-0.014046863568666357,-0.005568725062375157,0.0004221781370981059,-0.007878610233101213,-0.0012817643318445704,-0.0023945031367968994,-0.026122507438355758,-0.0006236341350780439,0.0047214389660874545,0.018147756378487756,-0.005943639486824304,0.008961147372284373,-0.004317295829984635,-0.004127835919091938,0.013716540471637284,-0.015689884227046424,-0.006841522707194403,-0.005500905488044938,-0.024576008753754652,-0.039803745940027335,0.0002488216280427391,0.008690137312626689,-0.01773714162902884,0.0021976980338296315,0.007570598088547431
2023-05-04,0.0004938884470626626,0.01265819686536096,0.0026434754572153274,0.007758014341925357,-0.0037549286859513975,-0.005803653624441463,0.00868384553798407,-0.0022060023895993375,0.011498939441966227,0.04545400860825355,0.0024064794508193987,-0.00023071095271576247,0.02397106536019744,0.0030163450298394956,0.004699157908425677,0.06392126573109458,-0.0020926238803680164,0.0085191637320019,-0.00054202888530408,-0.0008691383994726687,0.005798948582266927,0.02830225227644223,0.015581435142779432,0.007375154421543018,-0.010874916171747184,0.002416613305429305,0.0017416122768272313,0.0037822912715004264,0.008717460319812353,-0.00799785964408839,-0.009221368174346267
