Date,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,CEG,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2023-04-04,0.0,0.00417292776631073,0.0029014497184502996,0.0029702426158282336,0.01161990283306591,0.0003601040063865302,0.0030664853155986105,-0.00344036050538421,0.009780136835568554,-0.007830914512223619,0.013316606966778721,-0.002569013760519878,0.011988712291800763,-0.003543896972127647,0.0027990172319878326,0.00446661434432194,0.008267588017173866,0.00119578125374864,0.007537626290860633,0.006391016770967317,0.0,-0.00944787688890214,-0.003706140244892131,0.0026761652138524994,-0.001087758925028215,0.001957202572001604,0.004546089079179971,0.009569324555336767,0.005516214532904851,0.013773624037449084
2023-04-05,0.011754952139372277,0.03551198991767501,0.03309805389323062,0.036964018240694285,0.020933937086641263,0.03319823616055717,0.03226900246460329,0.021206573899654746,0.025932152179005685,0.00631417739315987,0.019534624156497316,0.0314597659158411,0.027122455410848456,0.02802662664144906,0.028749568803420944,0.04001973185859997,0.03164642421403885,0.025561495704447434,0.037655912267831715,0.015163352502311378,0.033501450516725706,0.02563347438732677,0.022938700774060905,0.024784037830230865,0.030127031534506132,0.028324895422175755,0.01916676646514892,0.02685635496628036,0.03745118261865987,0.03900663680711447
2023-04-06,0.01244812940992901,0.004195399372439734,0.008961600528833102,0.0037021025709091937,0.011117812766701984,0.005050524560178182,0.012504157214229927,0.0030586506687075854,0.0046695572275461394,0.006013034948125329,0.011322072341594769,0.015339343926109361,0.009105703509410201,0.004151689941970016,0.003617530335067398,0.002216904844632328,0.003725793331723626,0.0030281936244107577,0.0021629237914329025,0.008170509088321953,0.004531126965821031,0.011915049498547381,0.012727264525828064,-0.004216887092187815,0.005990096953593094,0.0022163147540754657,0.014365902877866432,0.011328547442689407,0.0030505971120429187,0.0021091109122908236
2023-04-10,0.02049177105833966,-0.0023614582141373575,-0.0006661849596928393,-0.00474230156375155,6.581482890744006e-05,0.005631676781037376,-0.0029249070732648708,-0.00577754399670094,0.0024248983675316804,0.004807571652894582,-0.001722404044092074,-0.002283661050335395,-0.006115932350028275,0.0038587230733471145,0.00036054147161324046,-0.007110079086442012,-0.004454453300153816,0.004644547399806909,-0.005755348397178395,-0.006838049560856652,-0.00451068846368885,0.010338914688907686,0.004189143722120425,0.0016191439136328256,0.0031523368644719163,-0.0012636648946073858,-0.0003219407003707264,-0.0037337743152935365,-0.002940008179579512,-0.007155862581606387
2023-04-11,0.018072245588967695,0.0025492546276302264,0.0017776196282812684,-0.0010588755110275683,0.0011190845545516748,0.002584663885070171,-0.001629715139374599,-0.00355134049780903,-0.0010078248971761017,0.0011639271541010743,0.002070478444188728,0.002817225681400304,0.002219337555340317,-0.0004116791747277304,-0.005134692266161034,-0.0042967347541402745,-0.002609951577925429,0.0,0.009406579286433958,-0.0011475548643923306,-0.001742793723973901,0.014212567119091357,0.002383810288734578,-0.004600770024853484,0.006634142466134252,0.006642448656352107,-0.003477287137145346,-0.002915100096304468,0.001525183417690812,0.003957044315444858
2023-04-12,-0.0015779038179017935,-0.0058118786389124155,-0.00221803831223244,-0.0008480150119255514,-0.00815464098666141,-0.00403891445354343,0.0013059003570821126,-0.004697881447975005,-0.004237735641437368,-0.007879204416528895,-0.00327139272819843,-0.0016680478798246634,0.0006039624060782955,0.003570943947962535,-0.0032596597630611956,-0.0075115414200683794,-0.005981326289914546,-0.004160794948319113,-0.009318920125410357,0.0031912151143047573,0.0006984030202454861,0.0022421220764781147,0.008323380918094037,-0.002748372799749932,-0.005896599083581311,-0.0009426244535739592,-0.005169568997057783,0.00403742027030507,-0.0035532357131142778,0.0
2023-04-13,0.00908734381925358,0.0009133856375527216,0.0014449037642516593,-0.003076611310698807,0.007824021478399112,-0.013459940018375138,0.001304133722366263,0.004720055710129012,-0.0061809016822391705,0.0042964249720998104,0.008118858840738596,-0.0047485690393023194,-0.0027160317176793125,-0.001642288447317064,-0.008266807101912743,-0.0009661938900247247,-0.001880263933015991,-0.0044104673223598345,-0.006271179502065127,0.003308310169277462,-0.011165486195484076,0.004194725324213833,-0.009433929356085002,-0.0017536498393014854,0.0034892061688107656,-0.001729857605035412,0.005261381313639735,0.004714195944987232,-0.0020377747767754695,0.0
2023-04-14,-0.026624885909824036,-0.007848119771769801,-0.007103202440922773,-0.015643264156178338,-0.01513167969791085,-0.01136946999785593,-0.010094427342528856,-0.01522759169226895,-0.014274101930506156,-0.009204075409377843,-0.007368067447638849,-0.00176699750394127,-0.015130167927136173,-0.018368784728647447,-0.014014806789454659,-0.010960660446105441,-0.01456934423084788,-0.017719748810737235,-0.008737792529806776,-0.010526338681482339,-0.017289964227851118,-0.01949321303035112,0.005357074293836028,-0.015183793106826937,-0.006606392747378731,0.00031507019874021935,-0.01117869360056356,-0.007176251109238918,-0.0113322714755143,-0.012668915847868556
2023-04-17,-0.021319491036382532,0.006622477922912928,0.0031298286854972712,0.008540481427795399,0.0009352397703621396,0.009377106797271662,0.007894811844459504,0.009047512017845705,0.012308596933563898,-0.01818661046406911,0.012946710692835595,-0.002478425080829627,0.007886136515050657,0.006563357313567719,0.011984427474541093,0.011408076607982709,0.008666862667285002,0.012817369847695215,0.0004896476359459445,0.006665060218816521,0.016157949909094693,-0.0028400915877613286,-0.0017761009956176466,0.010575765432768724,0.005250193450402119,0.0031495860655215147,0.012742641089730666,0.0055600349612148214,-0.003510949834994559,0.0025662283897511795
2023-04-18,0.0036992248603358036,-0.006944368426358372,-0.016157614301419487,-0.008789712522285442,-0.01161234591727911,-0.004382081431383522,-0.01338123715154238,-0.013368085215062608,-0.0035762428412502434,-0.00746257484108892,-0.02249492881505588,-0.005856149460941484,-0.01016152192797537,0.0004161291847017967,-0.0032130583346676733,-0.005156228260297269,-0.00960326340423634,0.004218510409732978,-0.009300101264471006,-0.0030558602561218118,-0.0038869149469856756,-0.012816813067901833,0.002372385921391107,-0.003782488042988086,-0.00800834736695022,0.0017268704715371896,0.006710619200751999,0.0033179445519291306,-0.007875752103624012,-0.007963608417813073
2023-04-19,0.0032759116968299473,0.01748250488693137,0.011326250500465651,0.011571284205210253,0.006144419281325364,0.010035166965154163,0.00926232396486637,0.018010613100383432,0.006357651158207522,0.0036251884320028793,0.0012203895931064412,0.006872501873889547,0.010163200322225396,0.008736718163284918,0.007551900022781055,0.012147653366145095,0.007782570858260174,0.004434141121869795,0.007905203707838204,0.008173740006181873,0.01277039961068227,0.005193263923439995,-0.0005917209877449592,0.012276872947586392,0.007371034774479979,0.003761166366052837,0.012626611570465185,0.0031686853621377686,0.010445025751532944,0.011897903899810602
2023-04-20,-0.025714178427161616,-0.00470248569466758,0.0023517968179131987,-0.00032060973040437535,0.004093798127764892,0.008976896319747185,-0.0006555183451326663,-0.004057781353824175,0.005298673786808594,0.023009868945915946,-0.0038308152590449396,0.004964111812769234,-0.0018292998562938756,0.003574380534834498,-0.007129724823859762,0.00416071011204,-0.0048107501452674395,-0.0009294686252449003,-0.006617689286250283,-0.0024069642697572835,0.0014011406550265004,-0.0077497063333920035,0.0011841426575527336,0.002875719644847452,-0.003484343179816607,-0.0014052289262815876,-0.006646057081742263,0.002884271818249573,0.0011371197950640344,0.001416704987708517
2023-04-21,0.005446086141694062,0.004724703545501807,0.0051397131763357695,0.004384389644551678,0.008755288006683903,-0.003368696240606206,0.001311960520492983,0.004400261701620334,0.003851512561032333,0.0010462037254592715,0.008739834954767156,0.0028226235029087388,0.0014253248966087373,-0.0009589472707537405,0.00018417089956046517,0.00430277168631954,0.002925895359497055,0.005116377775840064,0.001973862811142091,0.0030475136979752904,0.0017488209143998734,-0.004917449022566411,-0.0011827421221530798,0.004737496666643137,0.0031468256420339458,0.002032495146284896,-0.0008920629908820699,0.008080053310892898,0.0021683110481165446,-0.003536530472927124
2023-04-24,0.006666725389244954,0.004521569115337742,0.008448168812278833,0.003407145464630723,0.0038429308544549734,0.007280297490448895,0.009171244327681016,0.010222275367374412,0.008077545704463951,0.00966684331447043,-0.0032923667108174515,0.0057172903169786515,0.0054900515961919805,0.010146725264944756,0.0035898365673556754,0.0011107703140151859,0.006341977376174146,0.005321597130049094,0.005909923056089061,0.0006331094951819161,-0.003840771506964602,0.017441678391374005,0.014801670228698827,0.0040948872335269115,-0.000697070546670564,0.0017163622618672214,0.006696496373946426,0.006656575704214074,0.0071090244492331145,0.008375868865546199
2023-04-25,-0.01200328969568698,0.0037810190854090653,0.0004409699202714279,0.0014856219990264652,0.0060062311618029884,0.000430120862422223,0.0006491355002737897,0.0059427706207022535,0.005609053711723266,-0.0046578192823861775,-0.003650846401380581,0.004110515296867234,0.00849346849450483,0.001357374045278581,-0.0023847120388253984,0.00935169410632608,0.002898974241902552,0.00368234131800671,0.007099116941228223,-0.015435198417754314,0.004206093422059576,-0.026857088230163084,0.007584661614085553,0.00024717469383372936,0.0010464036041986091,-0.004672867503964673,0.0008233760877436325,-0.0016193566740470011,0.004705868580306971,0.002111673148877946
2023-04-26,-0.03393395567835644,-0.01883395437620694,-0.019501972687925195,-0.02256827904066616,-0.022109866878371687,-0.020813571597587233,-0.015569208675165647,-0.014529731271889723,-0.012549782267446297,-0.013908717229059175,-0.020764374910898775,-0.016026452258195545,-0.013936268576104971,-0.010437783422807989,-0.03420057252749542,-0.025910770348170686,-0.025889229691411608,-0.018802996914623726,-0.011181304162582895,-0.048188186642171504,-0.012565360444647844,-0.019377565335577107,-0.019108219723641517,-0.024092018249769143,-0.012891994587762468,-0.0220657464318752,-0.023104046876954443,-0.018788955300215626,-0.024641149203624146,-0.02107322353821961
2023-04-27,0.022116377836953083,0.015724282359576458,0.00820307558713762,0.006070421701614759,-0.003958466205859379,0.009573919170889233,0.01548595555029797,0.012637686486760558,0.00040343035128631577,0.01173213818933605,0.021917299111025024,0.004248926654659924,0.011387928258898006,0.007808323744400658,0.020276074310377146,0.008060574231139928,0.006063802596087964,-0.0002337705504962262,0.010815972324740963,0.024031315940452602,0.0181882590847533,0.02005994593517957,0.006493335313095816,0.008102250549712142,0.015531256858673848,0.015362523414595985,0.011404105154932287,0.012673973025755902,0.007725231706629643,0.008323883990907888
2023-04-28,0.010938293877953642,0.0007259261106997705,-0.008359318615446032,-0.004202235218874528,-0.0014145768749094234,-0.006960130937755271,-0.011356248577397032,-0.0038399662536092727,-0.007158731680944386,0.008469130878665965,-0.0036616687154468197,-0.009167057596397132,-0.005931508311982969,0.00040759417724434144,0.003732022975983851,-0.0067167844761476525,-0.004744769810334226,-0.007947584319038303,-0.03210100381896919,0.010283458697379233,-0.0031524690380437814,0.014187232275682193,0.0035192034496052127,-0.0038721768616657437,-0.0017379668024615214,-0.003940084991098214,-0.0038439173927562464,0.0005442248441955844,-0.0037293576037403797,-0.004981532878072459
2023-05-01,-0.021132781700733405,0.002720424249580855,0.007418197527091941,0.002488703748488641,-0.01119727049740371,0.003592110135770099,0.006892042160074441,-0.00995825126518457,0.006499521858798429,-0.004521957915817332,-0.0003499854752548881,0.004892842013497045,0.0021238365607532117,0.00475543492817021,-0.0015802563533487968,0.005796229959819543,0.0014172965509107183,0.017436330261067612,-0.01984924747418282,0.0022185197730113515,0.0017569254712666016,-0.0049751175848440354,0.0052601258258682115,0.005862909631846325,0.0017409925897859946,-0.0009493981993397016,0.006238366772149062,0.0073419705098676236,-0.002391632050689374,0.0037189693075025954
2023-05-02,-0.024179605830128237,-0.013564866987480162,-0.005801539651436927,-0.01478680348691408,0.0010232713622830847,-0.01964210322918869,-0.020534601143402553,-0.002433471242940466,-0.0054485511320337965,-0.003374541892705585,-0.027836231584962623,-0.012039690953499105,-0.015036825780744056,-0.009060142559350837,-0.00912383359727309,-0.016487962839543013,-0.016469324389457363,-0.014126853216564261,-0.006665037354554371,-0.011197850512846608,-0.02104524280953235,-0.019705848584248176,0.003488290167513064,-0.006082189679227246,-0.009384829837832953,-0.005226496962325022,-0.020836021327621856,-0.012687254410337134,-0.0071920153058869785,-0.015248783166134094
2023-05-03,-0.006637078144469899,-0.002016900906324004,-0.005162207364603044,-0.0044916745650557255,-0.001703532892759374,0.005431921212158519,-0.0033276998045327355,-0.004878878555778177,-0.005376900043215227,-0.0036462035222284417,0.004141956166618277,0.00026880912712634597,-0.00276640090055269,-0.02197054547015742,-0.003132206651699443,0.003906291649993232,0.0026163358375557166,-0.005637739286150856,0.004645224993462982,-0.007242573931722118,0.007524249412016681,0.00330028421803652,0.001738137433155762,-0.0002550043864931739,-0.0003508588402250101,0.006368434318265281,-0.003785895931716299,0.0024607417037805224,-0.010183678482219904,-0.008682954082555039
2023-05-04,0.0013362153936966603,0.006797721543149837,0.012408379690020954,0.006272736103542842,0.009079042971816387,0.04472593610901576,0.008347188430952945,0.009686695212574703,0.0048959614191910195,0.027185867010009135,0.014526568167254839,0.009406071825390327,0.00801397674355675,0.011441356816527026,0.010187632532049129,0.008106313516720087,0.0010439470619401092,0.005433485230752044,0.009600427121745359,0.0015916678694209985,0.008890426593096468,-0.06160285878294525,-0.002891869255721158,0.016194919203972535,0.007371034774479979,0.004745991913923442,0.005700425113821961,0.012545965359364697,0.0113491634360674,0.008905161119652893
2023-05-05,0.008451952180046796,0.00565697426977918,0.00802228731324961,0.007327163624615718,0.004126439585806496,-0.0033910677624369168,0.010596083702833381,0.011257935922043494,0.009845687958778049,0.011451880990202667,-0.0014141882821407936,0.006034769752184532,0.012740802796270767,0.014760606779502083,0.011875535826757266,0.006593766890129471,0.009384700233318055,0.0068138649548565855,0.020303261933911187,0.0,0.0059922084982142465,-0.003186687751002504,0.0017401538508541314,0.005395910057005571,0.0017421374182904348,0.004881188971241457,0.009316570110549982,0.00929288579623555,0.0069219326796898795,0.006655993548558836
2023-05-08,-0.04234668830412791,-0.006351017743072562,-0.014701017655157744,0.00032575799375433867,-0.0017058542604487803,0.0025519712236579117,-0.008846661336371353,-0.012746071344967635,-0.0048245274518485814,-0.009812487645574075,0.00017700628530659124,-0.0031756971428954506,-0.004629647999149333,-0.00231094375881713,-0.004191445098271185,-0.008627605171380281,-0.008910099429571994,-0.0018669971630201898,-0.01536522910363014,0.007283714845278677,-0.003153437528882974,0.0009590376981802873,0.008106500715406195,-0.0037444701004217817,-0.005565199071575377,-0.00517074744743129,6.444053955356743e-05,-0.004937337783188167,-0.010207314597201145,-0.0035934647951726406
2023-05-09,0.02579454855153207,-0.006574042063092089,-0.003365588791372942,-0.002299884595930335,0.0027802797704237214,0.005430166694686989,-0.001322433756985042,0.0,-0.002424076874113501,0.0030490940410248246,0.0,0.00283186576995087,-0.008594480608783317,0.003270147933984724,0.0005611824287545808,0.0017728464415425194,-0.003908908676063971,-0.003507098845166534,-0.004604766593156895,-0.0063106918990498695,0.0,-0.0003194557293966227,-0.007466926412535324,0.0003758934800366376,-0.0017488402981762352,0.0034650408417764567,0.005034690800010733,0.0016093609174991919,-0.00641911277053564,-0.0030294054910289248
2023-05-10,0.0166142691493274,0.013970501959998494,0.010806095259936033,0.006805673893851116,0.012577792458393411,0.006835427923888249,0.0023172269070041995,0.010949614953263964,0.006479780600144869,0.0063966057346842575,-0.0026549058655060964,0.005736027020202927,0.011116785839994092,0.0076057240296523165,0.0058894754996929866,0.015443925238094902,0.006932708185965808,0.007038975683647086,0.0169621845872594,0.01733263755824188,0.015465666523683641,0.027156637923854365,0.005208377049390256,0.010144040311591107,0.007708487996319624,0.0067492775513564585,-0.0007707811355317506,0.012987002053902463,0.010908731093922208,0.0027492245755056377
2023-05-11,-0.026943360856407472,-0.01015226318330853,-0.010690571921370462,-0.011338877706451922,-0.0021371084658768913,-0.010141654527648702,-0.012219331974186565,-0.0050114393049398576,-0.00452679655021504,-0.0006694907367099656,-0.015794110639277825,-0.007984637730515387,-0.008203053265485871,-0.013209389446623865,-0.011988849774837274,-0.01093155076355612,-0.009483061772308843,-0.010251645404698029,-0.004548909122902178,-0.010274526675349449,-0.025268255699083753,-0.03452561601271764,-0.0011514200921047824,-0.0012398328435676564,-0.012865098560857047,-0.0109135574309005,-0.013561311849557223,-0.01334926191787078,-0.00887288407408704,-0.009812377475176493
2023-05-12,0.0036313209215486086,0.007875488338089376,-0.012606861994914342,0.010807333177200062,0.0023425588145458143,0.008890795001716967,0.004680677104625275,0.002762072870405863,0.005658773787200699,0.00922641931084156,-0.004868358401676431,0.0034495308529935986,0.0012329246946436445,0.006419807550096968,0.007807351598458467,-0.0009610234599588541,0.010885433739192374,-0.008784481904649866,0.001777065609895656,0.024441653275577124,0.011718772110972164,0.0563788209838092,0.005763736943045883,0.0031033814239471713,0.0021134477179047817,0.00583231938028006,-0.0012379129570552205,-0.0081135665579678,0.000639439374552353,0.003934552194301055
2023-05-15,-0.005427405072716107,-0.018717045008931454,-0.030323782831039092,-0.01712866230011012,-0.014756048443363423,-0.013092798353439017,-0.017970058412117185,-0.01587820626755021,-0.010450005790207495,0.005259912280061618,-0.0076100984363783875,-0.006170186714668846,-0.011492966806968208,-0.01954398335328844,-0.015867056645109567,-0.010582059794778553,-0.0031137590868565157,-0.023712509791463443,-0.01647234799722186,-0.0053875413481251355,-0.015794927400414993,0.030192068282723694,-0.021776575933394327,-0.008167282504024431,-0.010896358871721135,-0.019746215628320574,-0.018005062936904626,-0.012678947024834075,-0.016828251418775753,-0.014225318057368486
2023-05-16,-0.05184171417328587,-0.01351856011398156,-0.01810478613127864,-0.0221999969364991,-0.01938193626827933,-0.013606621360018778,-0.019315422264782778,-0.022719753062994896,-0.011979086281816542,-0.015821635829566083,-0.03523824007334542,-0.022084150679343995,-0.024083907075101885,-0.026854782030768853,-0.023141140859687992,-0.022686747141278385,-0.030192595282562462,-0.034102040102453546,-0.01726355158362236,-0.021924132287248654,-0.01783172170534819,-0.007992952141389065,-0.012302276064733997,-0.01896451638147212,-0.020255918454945454,-0.012629841173647183,-0.033415257046563895,-0.020988701567202006,-0.02394104301515354,-0.019437668199063785
2023-05-17,0.004796159939862044,-0.009573917801302012,-0.0022748258221024775,-0.011579026836029849,-0.007532876591866633,0.006810902543557429,-0.001043482824077624,-0.008928521816541246,-0.006217647787299052,0.01759493050456684,0.007191465527645491,-0.010520721011989087,-0.010530863656349365,-0.007965994171147184,-0.008543652619715014,-0.0044767863876797875,0.003317717111741336,-0.0027940634613072834,0.0049816499957477944,-0.00659282201723832,-0.003994244628690691,-0.002984016171562298,-0.0035587486697139514,-0.0013989366494018274,0.001088224670585447,-0.003724120279234411,0.009003421415033852,0.0005642391425146887,-0.009211972872789964,-0.008259457751505384
