Date,GOOGL,GOOG,T,CHTR,CMCSA,EA,FOXA,FOX,IPG,LYV,MTCH,META,NFLX,NWSA,NWS,OMC,PARA,TMUS,TTWO,VZ,DIS,WBD
2023-04-04,0.0034496033752979827,0.0020017069597004777,0.012893236075525838,-0.022711312237042813,0.0013255196640764577,0.032056026162720075,-0.009069644792120357,-0.006694308592785303,-0.0037263507003530982,0.0011542610571737555,-0.03693113018117977,0.007743905006647234,-0.004393013623117725,-0.00574057044195897,-0.007954605335645515,-0.004306662215200374,-0.008260659807802884,-0.0030661242558289725,0.02485463718562575,0.010963668749404798,-0.001904587844673733,0.022957406433508742
2023-04-05,-0.0023873185359606364,-0.0016172545081613032,0.012220034972234117,0.01436286358190042,0.00397150107632549,0.007266032339057427,-0.003838166689599354,-0.004492929006560287,-0.010686508139407191,-0.008502613389252178,-0.027545246864386752,-0.01508944427507608,-0.01268923978798664,0.0,-0.0005726636409949526,-0.01202647383605615,-0.028227637145188944,0.019205716789444827,-0.005425814173187216,0.011601495170101783,0.0034147053571285113,-0.02376235417438055
2023-04-06,0.037809867924644136,0.037637014697434745,0.0024486188552577115,-0.008070928134697675,-0.006065436170135219,-0.007847658672379354,-0.008595184900355157,-0.009026475063716899,-0.0010802578639065308,0.004796427136956716,-0.0080532383878692,0.021846086955329636,-0.008821438520251856,-0.0028868574294089733,-0.0005731015831615949,-0.006406905829424159,0.031428531065724075,0.003286040279326885,-0.016366368837764766,0.0005829835840653885,0.0006005579005923245,0.021636220125055727
2023-04-10,-0.01826227412818926,-0.01790637787248628,-0.004071062943943882,0.010334958027546914,0.014327419911860595,0.0036751984933540705,0.014349801043665789,0.0146389218437879,0.002162746143708816,0.008679388505052454,-0.001399861423544202,-0.006247135887950672,-0.0010019637265927805,0.007527449339554515,0.005733972548525479,0.0017194690237967158,0.029547516302433685,0.0025398920287238447,0.01714286483636429,-0.003293000428198356,0.008402457999577617,0.019192585601739198
2023-04-11,-0.010240548123673587,-0.00776058181714423,0.006131813229983019,0.01308308845569961,0.003923713967289411,0.0004776130693580072,0.007662758828899774,0.008977215133971317,0.005395249814623693,0.006453419282639983,0.012054957310038361,-0.004190891252546569,-0.002300949295752308,0.011494338960962969,0.010262132006402691,0.0038623741925978283,0.026008850768455716,-0.0002666797179652347,-0.005370138144104364,0.002541398935682837,-0.003868662286556135,-0.030519436688099533
2023-04-12,-0.006739431369304327,-0.008480979104647624,0.004062894082395685,-0.04250806287343112,-0.01928084089216553,0.003580479444850404,-0.013454171086572542,-0.014617044034157645,0.004829541299328444,-0.003989723255618527,-0.047645359520967046,0.0007013976722158866,-0.021229392558424487,-0.017045471868802786,-0.014108367339854655,0.0002136346730077232,-0.03277960020446202,-0.0029343616084810398,-0.0058974922175613065,-0.006337084826488648,-0.024696230616246373,-0.05827192684366389
2023-04-13,0.026662852941523818,0.028226584168854263,0.00961045483397438,0.01267188918371076,0.010892567808770792,0.017045986876793817,0.006225858453803301,0.005159604741111545,0.013885334230294033,0.009155928121281853,0.039266970104114174,0.029672925717362686,0.04579646472529153,0.018497136336440345,0.018317271074420827,0.00876174677063557,0.0004517876820742117,0.005752124399069247,0.01946859813764501,0.0030612862154983933,0.029609885983264306,-0.00142250762210272
2023-04-14,0.013404099760920163,0.011738576711413096,-0.0015030010660025406,-0.017633704791618743,-0.002365344803581304,-0.0031961232637807147,-0.015615794845022624,-0.013474462807331222,-0.002370407645044925,-0.022398664737001694,-0.010355413843411654,0.005173584561249722,-0.021837711965334128,-0.012485903923929897,-0.013490811041721895,0.006355247210493076,-0.025293557658750188,-0.005187215088419905,0.008687792312389364,-0.0025432348384096803,-0.009321589210802839,-0.01851853487095878
2023-04-17,-0.026637287156401346,-0.027772710953352986,-0.007024495640890138,0.013733535699579136,0.0034246642064346133,0.0016422613870976654,0.017360165602799515,0.015284493823490175,0.005015773487930142,-0.007685597249612042,0.019796401325132607,-0.011874146993479884,-0.017452687525887134,-0.00459762544315323,-0.0034187981928586186,0.0073675907990433664,0.023169663863078283,0.006016543522536777,0.010644328933469893,0.006119141413850615,0.004003966729793307,0.05442670642478209
2023-04-18,-0.013871861883266057,-0.012215706114742653,0.0015159119958221279,-0.008290231078158516,0.004725721839091035,0.007495214334337863,0.0002941316216380496,-0.0006405430671395651,0.008930940760922379,-0.010521718800119095,-0.023571887311350515,-0.004432062587946706,0.0029454525809466947,-0.0028868574294089733,-0.0022869446073837674,0.004492652832195132,-0.011775435182540317,-0.0011296740096665703,-0.0005627890044216377,-0.01317776021101913,0.0062811478947162325,-0.017893962834530153
