Date,MO,ADM,BG,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,DG,DLTR,EL,GIS,HSY,HRL,K,KDP,KMB,KHC,KR,LW,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SJM,SYY,TGT,TSN,WBA,WMT
2023-04-04,-0.011782956470173245,-0.012932198752780066,-0.02224295589844616,-0.0030825637104962,-0.00045022470967259753,-0.005422712309765432,-0.003044909584553057,-0.008359780168743725,0.003739326975863655,-0.031896037191990745,0.0014083797140265197,0.010950186288504415,0.005945577430393367,-0.009036018195033302,0.0017458746029006544,0.003538633405617775,0.011875377200209813,0.0026821284191425043,-0.0008477873190809726,-0.004073588621934965,-0.0061775137038541095,-0.009611391213964149,-0.006140864296200088,0.009724875333427807,-0.0034535110371972655,0.004272230677463851,-0.007838782554858925,-0.003561603506704425,-0.003677262788864266,0.004815683574666885,-0.012052750700484394,-0.005373540153308931,-6.014353187899779e-05,0.004544766535074185,0.010998250855082548,-0.009819155176208239
2023-04-05,-0.00044996746057601733,0.0003780040933980544,-0.024018620034509386,0.017396099728780534,0.009906632677107563,0.009749872977748542,0.009484024736742036,0.008430255249395113,0.01836080037892418,0.01470928917732972,-0.0012055118628725436,-0.010177859495668407,-0.0012761262823905994,-0.02097646880088133,0.01150214062427457,0.005269838513432656,-0.010024421127159955,0.010997129348193191,0.0011313422297039022,0.008924596870411028,0.010618940101001506,-0.02830569621152601,0.005696030151451703,0.0019967461450294266,0.010781723670113985,0.012478734121036839,-0.006772020530189771,0.009843157657197343,0.01230267454335987,0.006856158024071801,0.009952398346268376,0.002588961049376115,-0.004878046940984815,0.0046915879736870725,0.0075313940356736,0.01657260503851199
2023-04-06,0.0,-0.00843720688866989,0.0023850364698863036,-0.0016198491108722068,0.010032415653330684,0.0021597338950389844,0.0006369407740220989,0.00424635549707153,0.002874388570885067,0.014450847117783328,-0.02242869419925264,0.0020282095805839173,0.0022864582708026493,0.007643142296196004,0.004392281008199106,0.0016960750571302086,-0.004445555075916041,-0.0005879134817503573,0.006779503018193633,0.006118228857056263,0.0030753504342100335,0.009571319928287192,0.025823286709831583,0.010362882221097047,-0.006666661724664791,-0.0049019687780791354,-0.004545414152223648,0.003920875424734627,0.002937021280021268,0.0063466936123430795,-0.004958939984869737,-0.0023240983818343386,0.0020575854884659073,-0.005837197893636237,-0.009413059200665375,0.007550040939048985
2023-04-10,0.0015755492083446843,0.016637020263902125,0.018494453834017266,-0.0019830826616755726,-0.0007725720610729514,0.0011410701916250154,-0.002386991984303033,-0.0071353739632742386,-0.021104764814216526,-0.0001780787466553191,0.016152820936317314,0.023176753109866777,0.026100372818591566,-0.0029013963422329647,-0.006329151579980152,-0.004309782194848233,-0.0022326547603357394,-0.003088638774941588,-0.011503843859215435,-0.006740370332990686,-0.001022108309605474,0.007831851653660848,0.004023941635603823,-0.006410405371155781,0.019175473090128126,-0.007318707935046076,-0.003995488844805051,-0.006292149008940706,-0.004645100082791953,-0.008277462301417682,-0.00479213585526006,0.005694341228234645,0.02065461916302791,0.024157057186080744,0.008943396537125281,-0.001923011995805357
2023-04-11,0.013258438287153673,0.01673950270287472,0.011150153026579845,0.007767325371620393,0.0005520817050324034,0.007407859133858219,-0.0017546449690688526,0.011711460678251129,0.009049769485123926,0.01585038885848644,0.009760500085058021,0.008580951093344558,0.0009155473428572591,0.004946809716989797,0.008222243430587861,0.001507272193067788,0.0029836311969990703,0.008852093560553831,0.0005677584344712105,0.0030979469230232315,0.003836474585248162,-0.019223026432088175,0.006990389003876052,0.010087979176280681,0.016933142669230516,-0.0031193235064131963,-0.001337147982130693,-0.0015283382143191915,0.0007101811119079038,-0.001987141516549551,-0.0007060811932200206,0.007849765043536294,0.003432086563573744,0.016379967356950687,0.005817446346975119,-0.0029233903414438434
2023-04-12,-0.005766277725261837,-0.0034401150514119516,-0.007246456121046463,-0.007707459029549502,-0.009162048135350265,-0.011815752213641728,0.0017577291596959643,0.00039471632603205187,-0.007649696129102823,-0.007626205639991057,-0.018650299317280683,-0.01088644008005002,-0.018945639357884847,0.021923470961575653,-0.0005741646426336011,-0.002045281429361334,-0.0029747556233179484,-0.00014619542639926486,-0.0011348725354884959,0.005441496100501375,0.0007642820303239706,-0.013344390569835496,0.0012031906876728282,-0.0025548953842505773,0.004070325055731239,-0.0014224012968978572,0.0036343237536855533,-0.0019681114798348887,0.0015206445773117139,0.0027212603001889324,-0.008609017651958428,-0.04456073213085887,-0.035794382938436065,-0.00757448715918807,-0.017075423465078066,-0.00486453338076176
2023-04-13,0.003122891466360578,0.0013561014419010142,-0.013011653242304244,-0.000722573132340032,-0.0011141014254136827,0.010939407334406903,0.007337702503957155,0.0061800173983015405,-0.0021264596828795,-0.000971699234251111,0.017451728088869745,0.0015260923603768184,-0.008590219763348061,0.018012540369079177,-0.0006896454862073131,-0.0023588445796098867,-0.0017403303048967311,-0.007605724982249873,0.0008522319724368899,0.005339067321887825,-0.0028003277413174432,-0.005705809112422022,0.012018158813517976,0.006752886203543307,0.0361156773918867,0.003276050360429661,0.007623360050996508,0.009969366218323783,0.00971763831249195,0.004633595979249172,-0.0033700397363649603,-0.0022718626951835352,-0.0014677747755087456,0.0017861875556210993,0.002521832531639623,0.0010045850982962623
2023-04-14,0.0013342931373410138,0.007017936936830171,0.011789864219462265,-0.009761401791007596,-0.01249161281716904,-0.004529715882503171,-0.001583557420189008,-0.012153609623684503,-0.015183823567995969,0.008974436183761147,-0.013235876705171012,-0.015422329587528205,-0.006582556113559512,0.009980137189937732,-0.004485338793761451,-0.0066666414404005225,-0.01542340680107368,-0.01252763193953954,-0.003972959844041113,-0.0009457449864729295,-0.0017872691351686898,-0.008501522126044159,-0.0069425420802186055,-0.017115831141192972,-0.0030232081055199256,-0.008943796303336637,-0.005863392563959291,-0.004718621307829518,-0.0027067971853580453,-0.0050734472722921975,-0.00916815553891459,-0.01580492057251126,-0.01390332944317263,-0.014102729286503024,-0.012856266462708543,-0.0067563927457612305
2023-04-17,0.009104931971665398,0.005012821797891753,0.014300793347925556,0.007849564644973883,0.015924900868663272,-0.000568790946698039,0.006502771625938264,0.0014552175150446267,0.008114664581928333,0.006353188102347751,0.00537340441812395,0.0013600099911996733,-0.008248825362068724,-0.0029920246546628615,0.006122875068859335,0.010730534991526985,0.014263868241713107,0.009253749300867531,0.008262212465349528,0.009466288421844604,0.011253282005406318,0.02486592795238196,0.006991077932954282,0.006235994548297041,0.01641099741553842,0.006446094227080312,0.006088274095571666,0.005122303938207118,0.004624008103839561,0.0003310510205740691,0.0065625201487851115,0.024496333403043913,0.010558961037748782,0.010194063979984458,0.017553696122060147,0.007004453610535588
2023-04-18,0.015404934788981306,0.004258029966957899,0.02141004637124122,-0.0016301181410329768,-0.00611435862975529,0.014860259908215934,0.0015758218420427461,-0.002113538885632482,-0.001878138643778171,-0.010144440409783573,0.005992710793247813,0.012832509807062964,0.018407501648839864,0.015123352458166428,0.004478308577921419,0.002200495184700557,-0.001757835985117806,0.002070421340501616,0.0,0.000721260491267417,-0.0020232373394224457,0.0008366055032233977,0.0016443454629404552,-0.0043263323331904635,0.005966966194317802,0.003415905087797322,-0.0037821626115670526,0.002060237757844696,0.013908386587866639,0.0010594244253738783,-0.0050854558630457625,-0.006774640365722506,-0.0018439728594905613,-0.009277358910280364,-0.010016712112278281,0.002207034009002129
