Date,ACN,ADBE,AMD,AKAM,APH,ADI,ANSS,AAPL,AMAT,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,ENPH,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,HPE,HPQ,IBM,INTC,INTU,JBL,JNPR,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PANW,PTC,QRVO,QCOM,ROP,CRM,STX,NOW,SWKS,SNPS,TEL,TDY,TER,TXN,TRMB,TYL,VRSN,WDC,ZBRA
2023-04-04,0.0,0.013339316731571182,-0.007145762525449739,-0.003980451586111822,-0.019576537751034295,-0.005909902453648752,-0.0019428783931929594,-0.003249549147529285,-0.01798559050100268,-0.005961607054083218,-0.02052218166132913,-0.012545359550162893,0.0005676480322340804,-0.022820007529518738,-0.0019261066960312156,-0.01140625723210853,-0.014878294701448302,-0.00029621330491047537,-0.020725400837123376,0.00946979425262473,-0.0007973570780348549,-0.001678766819962041,-0.005127376721590027,-0.032736919597631475,-0.005827403517582375,-0.01347204817786607,-0.011375056292286412,-0.0034831522935614423,0.006384785053348274,-0.0019515163574930217,-0.02698377902319482,-0.008423026642350173,-0.023405998019682683,-0.015388801335648461,-0.03301957222936258,-0.012936773336203133,-0.039255243366231984,-0.0001740692800010768,-0.02020410817654905,0.0016465905926992264,-0.015578715363316897,-0.018308576014440248,-0.03220138158152874,-0.032659619741345236,0.0008518250070352895,0.001171475196831917,-0.003669936934631357,-0.03588780259753388,-0.01956063457791246,-0.008575597347486918,0.0036133718521516034,-0.0062358491857626985,0.024887506300750983,-0.028452087295491313,-0.010310098576782667,-0.03529685523320425,-0.016270562758555096,-0.03473795246936218,-0.02041712288456876,-0.027246373863035966,0.014717073843554473,0.002390596111276011,-0.03387102447282064,-0.009433667572548599
2023-04-05,-0.01577811350070657,-0.008126716688080071,-0.03452597364305687,-0.0020626019510674443,-0.01984158616881304,-0.024344049386609723,-0.016607926178578536,-0.011290390463306599,-0.023310036279654667,-0.023269789822404463,-0.028378930083648668,-0.008511806055831461,-0.01867522599795879,-0.006868424919655225,0.0,-0.00016479200630736823,-0.004937637985179544,-0.04379379584878651,-0.029306668215647536,0.007943054748274392,-0.01838120865534132,-0.0313731084772052,-0.012429887519342375,-0.002929135728119925,0.008792455878011252,-0.012414720214276254,-0.004737711455253701,0.004103210015208525,-0.008156829242800812,-0.0015006947751553534,-0.022326730680194085,0.004979480889774512,-0.00851873052697727,-0.02861154603166194,-0.021435999907231218,-0.025967647382008296,-0.004365279857799886,-0.009889241436984664,-0.020061655925418087,0.0008397188525608446,0.0019141905062378672,-0.020835538669966347,-0.01760152110716484,-0.02484389095826811,0.009467993266355057,-0.012108287099988568,-0.01144199923144018,-0.023136246786632397,0.006050717853886223,0.0024592123777242847,-0.009584175552216134,-0.00734607624607253,-0.018317406668006075,-0.013765982528048615,-0.01706805769679931,-0.01409671128405332,-0.010494150983132666,-0.018042429783181935,-0.01773838378571191,-0.023440609884764152,-0.03201380758565964,-0.006593423529886899,-0.024485177714058004,-0.02772828154426399
2023-04-06,0.0013153611574563406,-0.0037170382466699126,-0.0009723027254149308,0.019506451820193504,-0.005253153290110557,-0.016809381721844097,-0.0037735888239017745,0.005495931448347591,-0.024463081664940045,-0.01848209809379442,-0.001063055988980044,-0.010126919286057912,0.004625201026976278,-0.013140456867015038,-0.010613654135410822,-0.0039564245390064645,-0.004670268879984452,-0.013786328260385394,0.013272926826185971,-0.0033287380742764716,-0.006207342729065868,0.014384176815162686,0.005679126761655162,0.0018840092316745327,0.003486374191196351,-0.0031426344592954125,-0.004080159857163479,-0.01241097651882106,-0.0006092307504346195,0.01913914295455177,-0.013461462805550828,-0.018070565100011815,-0.0013465420930154348,-0.018212205315217944,0.0006281186471281952,-0.010311804238897881,0.02908361633163592,0.025532872725764433,0.0006126068617027247,-0.009366194332681155,0.003024949285503009,0.005803232017424609,-0.01687664786360965,-0.01567813644216043,0.01085472821260347,-0.011587187583000813,-0.006738532410289877,-0.0028420699270148564,-0.0003251329545725934,-0.0038866474262355677,-0.014131352932959418,-0.007092199871043148,0.012410969715614506,-0.010046266465614018,-0.006448810704866026,-0.004257427520729884,0.00020748914076840208,-0.00829799146471566,0.00519193382515426,-0.004068363782754991,0.014609417216242537,0.002918448079751279,0.002567032203725228,0.0003665363031077895
2023-04-10,-7.113458345331392e-05,-0.011429337976238796,0.03255112032545915,-0.008742965382926626,0.010046398983749816,0.02019562623938831,-0.0007451261934312559,-0.015972275011977177,0.017911855721413295,0.020519228364450637,0.004053932637092084,0.007628621375389555,0.024410110462302903,0.019083462158969056,0.00117030035070953,0.011419998477666171,0.022874088597061748,0.025130906030145672,0.01624281792759552,-0.0007497826004881913,0.01063327175840012,0.036770839931784316,0.021215004430102713,0.0029641200821712843,0.002316024155528007,0.012610228458302508,0.015363501494099152,0.004061291960540503,-0.008838878369679892,-0.004566211299531497,0.01181784283884646,0.006827074062296656,0.010658129451745602,0.021379393825242676,0.027683884718118668,0.02350706354736687,0.08043028873329461,-0.00757891716935799,0.031988415099255096,0.0005644139912512891,0.032539723780971475,0.02004683722292433,0.013580218471985539,0.03132467115829485,-0.018425397599643678,0.003595073556699635,0.008380520509942313,0.004961401611458971,0.010487840326408593,0.0012394298510138846,-0.005505050853251925,0.030279476804021543,-0.0010356355109973903,0.003951631775439113,0.01082670956922338,0.01072933048341218,0.00537080691045233,0.023309133526962178,0.007298416478824787,0.014705907560596199,-0.0024092279346571432,-0.0022528664838037393,0.08221904023306226,0.005661698641720836
2023-04-11,0.01650812427887538,-0.013661168500830545,-0.015186473886224738,0.03182919285339447,-0.0028054229291680777,-0.008064913557095377,-0.0013360448691088767,-0.007591222986454649,-0.001030129202019836,-0.021577908214921004,-0.001816900229436258,-0.009276429966870614,0.0013107943377970166,-0.0028564869479303923,-0.013832226778500267,0.00949107818918904,0.0028669350384278314,0.0055158417478125,0.011652338135571316,-0.005798131433333187,-0.0008976048751243582,-0.009432627512684255,0.0013450356144815157,0.004862078349141319,0.026574308720787698,-0.0006226443662523673,0.006724985312088316,-0.004655391955311727,-0.005227589108815822,-0.01623501251632209,0.000842757260125504,-0.008254778987195177,-0.007877552025383427,-0.01243902380153561,9.849696900454674e-05,0.0,0.004741646000236965,-0.022668424506132934,-0.008429464284312571,-0.0004230174032292533,0.023827705301894042,-0.014866490145566846,-0.00307407838962781,-0.0061775514336094295,0.00223973038000147,0.000986410789236336,-0.0026119535477712175,-0.001050404173599473,-0.005792908501250138,0.005661931985436963,-0.013577764002980497,0.007987843936198669,-0.005966501431996507,-0.012076208482420081,-0.00155266284126776,0.003511885896186895,0.003645442783704711,-0.004380439036443473,0.0025080197495777057,-0.00020133124333787666,0.015712455142760096,0.005221566472813022,0.00867502650933738,0.0068552370605252655
2023-04-12,-0.005083946693720032,-0.0032873561781672223,-0.018079304161561782,0.0056987001674460025,-0.0011508571138810764,-0.011192695604765879,-0.015307592706127027,-0.0043531517069892445,-0.027667905918268065,0.011277507956109156,-0.02335926355396012,-0.007834897105340799,-0.00799479507572498,-0.002175054333466764,-0.010074864732400934,-0.022856185613963076,-0.006860929301477525,-0.0043173815645807245,-0.014711935927189113,-0.010291595197255532,0.008056395849688647,-0.01018901776930059,0.0028358573344215987,0.012776346902674707,-0.009003868469835252,-0.004361347552757633,-0.00935199518522023,-0.014415044283431433,-0.010200866365479344,-0.005508503627166483,0.003849846863630324,0.0035672255180760892,0.009733010759317429,-0.02056039284935951,-0.020570982363804835,-0.016387413603093037,-0.025326459666716317,0.002333503595485009,-0.03868847180653523,0.00783070926199314,-0.003002901672396363,-0.02480758796809235,-0.009657902465395107,-0.009842037350637933,-0.0007449631257618883,0.012810545365794734,0.0030156118322031134,-0.01661410995169088,-0.02670552284041483,0.008593429355353122,0.007570585733448265,-0.007475971518944191,0.0034268130911068173,-0.023089566477510037,-0.007590946044132685,-0.00278381406831818,0.0037007312785550806,-0.007821601592057026,-0.01289810129023583,-0.011274362376438973,0.0042799561717463686,-0.00510082982562321,-0.009642922652710939,-0.008617554608778666
2023-04-13,0.0053212762825809445,0.02408816889258225,-0.002599431261825602,0.02451340054556095,0.006913295441453693,0.009664226273099707,0.010616499645541344,0.03410359404493324,0.002739453176551887,0.020940397418607315,0.016307692259079687,0.012226195982140808,0.02276370062108124,0.005954625243101308,0.013769575570252046,0.005474473613484632,0.005469139098313702,0.06968323086860129,0.03455298413283736,0.021906437865576223,0.020966405292953683,0.016210472495461925,0.017859754496789337,0.002216991272687263,0.005678491423468879,0.003128990327543546,0.008091669123731382,-0.004978956464934736,0.003435412451244124,0.015445068177159404,0.008029723790296428,0.00977488494083234,0.013126970850284803,0.011482143905810371,0.0025751324887677285,0.011359187531850612,0.01678506972558136,0.022399423323046674,0.023503267131614436,0.012879593817743284,0.0061746127794635175,-0.0012077876321532344,0.009987033372005794,0.014778933650908765,0.01757189180805363,0.013262988294145739,0.016377936025121054,0.0010693552941123396,0.007150515588854267,6.780982910048472e-05,0.019440924789053238,-0.01551675334196334,0.02560296865227185,0.007693083460393657,0.013385766206263305,0.004944986462572798,0.0071010655071139794,0.004532911090387115,0.008786251582756588,0.013642805143930126,0.012395146565295612,0.020084613786853778,-0.029473656102230628,0.015792474396308043
2023-04-14,-0.02110268672563087,0.0015311961682553665,-0.0036920007754494,-0.007454552492932476,-0.006484373221387285,-0.0031201037366354045,-0.007441003087060305,-0.002114043606949778,-0.005023335103734317,-0.007221234486920358,-0.008405042621387082,-0.007529144370372776,-0.011335844050263888,-0.011891496987935679,-0.00511804214305267,-0.0094044188972644,-0.004294414982467409,-0.003767506966111167,-0.013366253241875903,-0.013296293773656487,-0.0010304125877863557,-0.013537823935989013,-0.004679042223718066,-0.01894312915669616,-0.007905131390281595,-0.007486018874253708,-0.0026755731882878164,0.0018764669079180951,-0.007469685349902666,-0.0004300475433351991,-0.004161136971917889,-0.002933409106104179,-0.0012518587576292317,0.0017361703611409318,0.004996409916954381,-0.007487737078239576,-0.005873037942218828,-0.012765556604906192,0.0009017315962980277,0.00711823618285945,-0.006885115696248056,0.011147507625715036,0.002501192620752102,0.004253149202605888,0.0016745469350269993,0.007934539662210582,-0.005682728621987487,-0.0004272688993144369,-0.008007802305930345,-0.005875576084741763,0.003247034378675462,-0.021270091728285645,-0.042337127653987894,0.012509203523414891,0.00031448558013225103,-0.0006349211027181223,-0.005807988572305023,-0.011673649640325912,-0.0007258686409827853,-0.01707510034079396,0.00250372443598601,-0.0018904800689406587,-0.0385033064673701,-0.01009251958045887
2023-04-17,0.002614068257854374,-0.0038483616328939263,-0.020490433279759857,0.004603237303089092,0.006270796070096507,0.00562310761590834,0.008536212696185208,0.00012101867118707865,-0.009831682675843112,-0.0011002929575467668,0.01248326636220165,0.012622329019482015,-0.006478673362279586,0.010483473194248916,-0.005144525644814157,0.011825448488735235,-0.0011499135395303117,0.07668743293692626,-0.004560831430795997,-0.0011687739602070923,-0.002277779647923861,0.05033592034736145,-0.005288682414654633,0.014894570530611162,0.02219700185290696,-0.0037712103772571393,0.037223335545965686,-0.0024973109918355885,0.007839374872107285,-0.0034645006743088125,-0.002865482558164434,-0.012356725854592798,-0.04092503684639959,-0.007812607106568836,-0.01633254217317115,0.012699626120030283,-0.0014370726929012756,0.009295911273746293,0.010664918119826838,-0.0018527437061828245,0.020045198590295188,0.009118764688709646,0.012532637169576422,0.006288571671955623,-0.0012538509351212035,0.008624153628399744,0.010647404252833281,0.0004274515360618292,-0.0064914039649525135,0.00684233480427876,0.012483986698004212,0.004534100925429829,0.016240824640945783,0.004723770667866445,-0.003903768242944472,0.006512060597950953,-0.004114448129032944,-0.026203403908594325,0.005978447868302927,-0.0049050005511936945,-0.004857669504599649,0.0030952515391491353,0.01579248132401201,-0.008644566560856659
2023-04-18,-7.15113343817686e-05,-0.000979110980150244,-0.0010014906479857144,-0.001326427227140603,-0.0026707782728224716,5.274231460372647e-05,0.003747930022118595,0.007504753232916883,-0.004651670673453512,-0.004466991406916976,0.0018265798216079432,0.00790613250843264,0.0028617029455417775,0.007251724424363726,0.0005967104725093098,0.006090483290644766,-0.006908552509986343,0.013115761036181173,0.00169692859445858,-0.01645098712644688,0.001292265929504266,0.002695401066909353,0.0016245844312348101,-0.005695175650111239,-0.005011069127050627,-0.004416380111095353,0.009375999554099845,-0.00031292992276032994,-0.009645267604771801,0.005680554658299419,0.0076630015418850395,-0.012808942287448,-0.018035643526446488,-0.0024185750802454553,0.005500734930672602,0.0028556712087379754,-0.009753720518345665,-0.0014887728449534121,-0.013973011375386535,-0.0014437800355163732,0.00413713675392402,0.024627857058311386,0.007277450111704997,0.010202721400329073,0.009205993083017061,-0.005766572086854049,-0.00728176053972307,-0.0009613753967598893,-0.008544162831179647,-0.0027093525840947708,0.0072051865016857786,0.0003112282552428791,0.011560944814644758,0.00216996231981037,0.0006312376254868912,0.007969007826967855,-0.004610689281712932,0.015696695445267972,0.0014995289562791392,-0.00862596386919845,0.034197445360617085,0.0038686331644675054,-0.008328684987450763,0.0005658438147155831
